"BT_node","origin"
"Root","B"
"0","B"
"1","A"
"2","C"
"3","C"
"4","A"
"5","C"
"6","A"
"7","C"
"8","C"
"9","C"
"10","C"
"11","C"
"12","C"
"13","A"
"14","A"
"15","C"
"16","A"
"17","A"
"18","A"
"19","A"
"20","A"
"21","C"
"22","B"
"23","A"
"24","A"
"25","A"
"26","A"
"27","A"
"28","A"
"29","B"
"30","B"
"31","A"
"32","C"
"33","A"
"34","A"
"35","A"
"36","A"
"37","B"
"38","B"
"39","B"
"40","A"
"41","A"
"42","A"
"43","A"
"44","A"
"45","B"
"46","B"
"47","B"
"48","B"
"49","C"
"50","A"
"51","not_sure"
"52","not_sure"
"53","C"
"54","A"
"55","C"
"56","C"
"57","C"
"58","C"
"59","A"
"60","A"
"61","A"
"62","A"
"63","A"
"64","A"
"65","A"
"66","B"
"67","C"
"68","C"
"69","A"
"70","A"
"71","A"
"72","C"
"73","A"
"74","B"
"75","A"
"76","A"
"77","A"
"78","A"
"79","A"
"80","B"
"81","B"
"82","A"
"83","C"
"84","B"
"85","C"
"86","B"
"87","B"
"88","B"
"89","C"
"90","B"
"91","B"
"92","C"
"93","A"
"94","B"
"95","B"
"96","A"
"97","B"
"98","C"
"99","C"
"100","C"
"101","C"
"102","C"
"103","C"
"104","A"
"105","C"
"106","C"
"107","C"
"108","C"
"109","C"
"110","C"
"111","C"
"112","C"
"113","C"
"114","C"
"115","C"
"116","C"
"117","C"
"118","C"
"119","C"
"120","C"
"121","C"
"122","C"
"123","C"
"124","C"
"125","C"
"126","C"
"127","C"
"128","C"
"129","C"
"130","C"
"131","C"
"132","C"
"133","C"
"134","C"
"135","A"
"136","C"
"137","C"
"138","A"
"139","C"
"140","A"
"141","A"
"142","A"
"143","A"
"144","A"
"145","B"
"146","B"
"147","B"
"148","C"
"149","C"
"150","C"
"151","B"
"152","A"
"153","A"
"154","A"
"155","A"
"156","B"
"157","C"
"158","C"
"159","C"
"160","C"
"161","C"
"162","A"
"163","A"
"164","A"
"165","A"
"166","A"
"167","C"
"168","C"
"169","C"
"170","C"
"171","B"
"172","B"
"173","B"
"174","C"
"175","C"
"176","C"
"177","A"
"178","A"
"179","A"
"180","A"
"181","A"
"182","A"
"183","C"
"184","B"
"185","B"
"186","A"
"187","B"
"188","C"
"189","C"
"190","C"
"191","C"
"192","C"
"193","B"
"194","B"
"195","C"
"196","C"
"197","A"
"198","A"
"199","C"
"200","C"
"201","A"
"202","A"
"203","C"
"204","C"
"205","A"
"206","A"
"207","B"
"208","B"
"209","B"
"210","B"
"211","B"
"212","B"
"213","B"
"214","B"
"215","A"
"216","B"
"217","A"
"218","A"
"219","A"
"220","A"
"221","C"
"222","A"
"223","C"
"224","C"
"225","A"
"226","C"
"227","B"
"228","A"
"229","B"
"230","B"
"231","B"
"232","B"
"233","B"
"234","C"
"235","B"
"236","A"
"237","A"
"238","B"
"239","B"
"240","B"
"241","B"
"242","B"
"243","C"
"244","B"
"245","C"
"246","B"
"247","B"
"248","C"
"249","C"
"250","B"
"251","C"
"252","C"
"253","C"
"254","A"
"255","B"
"256","C"
"257","B"
"258","C"
"259","B"
"260","C"
"261","B"
"262","A"
"263","B"
"264","B"
"265","B"
"266","C"
"267","C"
"268","B"
"269","B"
"270","B"
"271","C"
"272","C"
"273","B"
"274","A"
