nodename	lower	upper	average
1615	3091.64	2686.0	2888.8199999999997
1652	3191.38	2829.0	3010.19
1515	2905.9	2487.12	2696.51
1461	2829.24	2399.44	2614.34
1556	2976.22	2581.13	2778.675
1447	2820.45	2370.62	2595.535
1510	2906.3	2478.42	2692.36
1579	3015.82	2639.08	2827.45
1630	3110.81	2751.72	2931.265
1656	3194.53	2846.13	3020.33
1680	3270.33	2932.07	3101.2
869	1279.15	531.155	905.1525
1226	2555.27	2054.93	2305.1
1480	2838.14	2445.35	2641.745
1613	3067.58	2707.28	2887.4300000000003
1469	2814.09	2436.34	2625.215
1397	2727.65	2348.97	2538.31
1549	2935.32	2608.75	2772.035
1471	2832.32	2429.84	2631.08
1118	2371.63	1978.56	2175.0950000000003
1207	2466.71	2114.22	2290.465
994	2172.33	1723.02	1947.675
1101	2345.41	1971.36	2158.3849999999998
1289	2555.98	2226.49	2391.2349999999997
992	2148.2	1753.52	1950.86
1100	2341.56	1974.13	2157.8450000000003
1227	2484.93	2152.78	2318.855
986	2135.57	1716.45	1926.0100000000002
1081	2304.6	1941.33	2122.965
1167	2432.16	2076.36	2254.26
1274	2545.09	2220.22	2382.6549999999997
1356	2639.53	2321.0	2480.2650000000003
1188	2455.2	2100.9	2278.05
1056	2277.46	1884.6	2081.0299999999997
1027	2234.17	1831.6	2032.885
967	2080.58	1656.31	1868.445
1017	2208.35	1821.14	2014.745
1094	2323.79	1964.99	2144.39
1154	2396.19	2047.67	2221.9300000000003
1230	2487.89	2152.92	2320.4049999999997
1319	2587.9	2265.19	2426.545
1402	2710.79	2386.63	2548.71
1521	2870.72	2560.41	2715.5649999999996
1557	2937.35	2626.2	2781.7749999999996
1606	3031.65	2717.43	2874.54
1616	3052.55	2738.48	2895.5150000000003
1032	2262.48	1833.37	2047.925
1143	2410.41	2016.29	2213.35
1263	2552.61	2192.32	2372.465
1157	2447.7	2011.83	2229.765
1321	2622.16	2245.25	2433.705
1457	2779.64	2443.61	2611.625
1252	2536.91	2167.28	2352.0950000000003
929	2006.45	1446.63	1726.54
1187	2478.81	2077.88	2278.3450000000003
