"BT_node","origin"
"0","not_sure"
"1","not_sure"
"2","B.D"
"3","not_sure"
"4","not_sure"
"5","not_sure"
"6","not_sure"
"7","not_sure"
"8","not_sure"
"9","not_sure"
"10","not_sure"
"11","not_sure"
"12","C.D"
"13","not_sure"
"14","not_sure"
"15","C.D"
"16","not_sure"
"17","D"
"18","not_sure"
"19","not_sure"
"20","not_sure"
"21","not_sure"
"22","C.D"
"23","not_sure"
"24","B.D"
"25","not_sure"
"26","not_sure"
"27","C"
"28","not_sure"
"29","not_sure"
"30","not_sure"
"31","not_sure"
"32","not_sure"
"33","not_sure"
"34","not_sure"
"35","not_sure"
"36","not_sure"
"37","not_sure"
"38","C.D"
"39","not_sure"
"40","B.D"
"41","B.D"
"42","B.D"
"43","not_sure"
"44","not_sure"
"45","C"
"46","B.D"
"47","not_sure"
"48","not_sure"
"49","C.D"
"50","not_sure"
"51","C"
"52","C.D"
"53","not_sure"
"54","not_sure"
"55","B.D"
"56","not_sure"
"57","not_sure"
"58","not_sure"
"59","not_sure"
"60","C.D"
"61","not_sure"
"62","not_sure"
"63","not_sure"
"64","not_sure"
"65","B.D"
"66","not_sure"
"67","C.D"
"68","D"
"69","not_sure"
"70","B.D"
"71","not_sure"
"72","not_sure"
"73","not_sure"
"74","not_sure"
"75","not_sure"
"76","not_sure"
"77","not_sure"
"78","not_sure"
"79","B"
"80","not_sure"
"81","B.C"
"82","not_sure"
"83","not_sure"
"84","not_sure"
"85","B.D"
"86","not_sure"
"87","not_sure"
"88","B"
"89","not_sure"
"90","B"
"91","B"
"92","B"
"93","B"
"94","not_sure"
"95","not_sure"
"96","B"
"97","not_sure"
"98","B"
"99","not_sure"
"100","not_sure"
"101","not_sure"
"102","not_sure"
"103","not_sure"
"104","not_sure"
"105","not_sure"
"106","not_sure"
"107","not_sure"
"108","not_sure"
"109","not_sure"
"110","not_sure"
"111","C"
"112","not_sure"
"113","B"
"114","not_sure"
"115","not_sure"
"116","not_sure"
"117","not_sure"
"118","C.D"
"119","not_sure"
"120","C.D"
"121","D"
"122","not_sure"
"123","not_sure"
"124","not_sure"
"125","not_sure"
"126","B.D"
"127","not_sure"
"128","not_sure"
"129","C"
"130","C.D"
"131","not_sure"
"132","C.D"
"133","B.D"
"134","not_sure"
"135","B.D"
"136","not_sure"
"137","not_sure"
"138","C.D"
"139","not_sure"
"140","not_sure"
"141","not_sure"
"142","C"
"143","C"
"144","C"
"145","C"
"146","C"
"147","not_sure"
"148","B"
"149","C"
"150","C.D"
"151","B.D"
"152","B.D"
"153","B.D"
"154","B.D"
"155","not_sure"
"156","not_sure"
"157","C.D"
"158","B.D"
"159","not_sure"
"160","not_sure"
"161","not_sure"
"162","not_sure"
"163","not_sure"
"164","not_sure"
"165","not_sure"
"166","C.D"
"167","B.D"
"168","not_sure"
"169","D"
"170","not_sure"
"171","B.D"
"172","D"
"173","D"
"174","D"
"175","not_sure"
"176","C.D"
"177","D"
"178","D"
"179","D"
"180","D"
"181","D"
"182","D"
"183","D"
"184","not_sure"
"185","not_sure"
"186","B.D"
"187","B.D"
"188","D"
"189","not_sure"
"190","not_sure"
"191","not_sure"
"192","D"
"193","not_sure"
"194","not_sure"
"195","B"
"196","not_sure"
"197","B.D"
"198","B.D"
"199","D"
"200","D"
"201","D"
"202","D"
"203","not_sure"
"204","not_sure"
"205","C"
"206","C"
"207","not_sure"
"208","not_sure"
"209","not_sure"
"210","C.D"
"211","D"
"212","not_sure"
"213","B.D"
"214","D"
"215","not_sure"
"216","C"
"217","C.D"
"218","not_sure"
"219","C"
"220","C"
"221","C"
"222","C.D"
"223","not_sure"
"224","not_sure"
"225","D"
"226","not_sure"
"227","not_sure"
"228","not_sure"
"229","not_sure"
"230","C.D"
"231","not_sure"
"232","C.D"
"233","D"
"234","D"
"235","D"
"236","not_sure"
"237","D"
"238","not_sure"
"239","not_sure"
"240","not_sure"
"241","C.D"
"242","not_sure"
"243","B.D"
"244","not_sure"
"245","not_sure"
"246","C"
"247","C.D"
"248","not_sure"
"249","not_sure"
"250","B"
"251","B.D"
"252","not_sure"
"253","not_sure"
"254","B"
"255","B"
"256","B"
"257","B.D"
"258","not_sure"
"259","not_sure"
"260","not_sure"
"261","B"
"262","B.D"
"263","not_sure"
"264","not_sure"
"265","not_sure"
"266","not_sure"
"267","B"
"268","not_sure"
"269","C"
"270","not_sure"
"271","not_sure"
"272","C"
"273","B"
"274","not_sure"
"275","not_sure"
"276","not_sure"
"277","not_sure"
"278","not_sure"
"279","not_sure"
"280","C.D"
"281","D"
"282","not_sure"
"283","not_sure"
"284","C"
"285","C"
"286","C"
"287","C"
"288","C"
"289","not_sure"
"290","C"
"291","C"
"292","C"
"293","C"
"294","C"
"295","not_sure"
"296","C"
"297","B"
"298","B.D"
"299","not_sure"
"300","not_sure"
"301","not_sure"
"302","not_sure"
"303","not_sure"
"304","not_sure"
"305","B.D"
"306","B.D"
"307","not_sure"
"308","C.D"
"309","not_sure"
"310","not_sure"
"311","B.D"
"312","B.D"
"313","not_sure"
"314","B.D"
"315","not_sure"
"316","not_sure"
"317","B"
"318","B"
"319","B"
"320","not_sure"
"321","B"
"322","B"
"323","B"
"324","B"
"325","B"
"326","B"
"327","not_sure"
"328","not_sure"
"329","not_sure"
"330","B.D"
"331","B.D"
"332","D"
"333","not_sure"
"334","not_sure"
"335","not_sure"
"336","not_sure"
"337","C"
"338","C"
"339","not_sure"
"340","not_sure"
"341","C.D"
"342","B.D"
"343","not_sure"
"344","B.D"
"345","D"
"346","not_sure"
"347","not_sure"
"348","C.D"
