"right.node"	"left.node"	"event"	"left.date"	"right.date"	"midpoint.date"	"left.BT_node"	"left.origin"	"left.leaves_count"	"right.BT_node"	"right.origin"	"right.leaves_count"
"1728"	1728	"spe"	3460.76	3460.76	3460.76	90	"marine_shallow"	774	"90"	"marine_shallow"	774
"1727"	1727	"spe"	3442.105	3442.105	3442.105	95	"not_sure"	769	"95"	"not_sure"	769
"1726"	1726	"spe"	3410.995	3410.995	3410.995	548	"terrestrial"	316	"548"	"terrestrial"	316
"1724"	1724	"spe"	3366.71	3366.71	3366.71	698	"marine_shallow"	166	"698"	"marine_shallow"	166
"1716"	1716	"spe"	3290.735	3290.735	3290.735	0	"marine_deep"	91	"0"	"marine_deep"	91
"1690"	1690	"spe"	3133.07	3133.07	3133.07	18	"marine_deep"	73	"18"	"marine_deep"	73
"1645"	1645	"spe"	2989.33	2989.33	2989.33	73	"not_sure"	18	"73"	"not_sure"	18
"1354"	1354	"spe"	2472.065	2472.065	2472.065	80	"not_sure"	11	"80"	"not_sure"	11
"1091"	1091	"spe"	2138.97	2138.97	2138.97	82	"not_sure"	9	"82"	"not_sure"	9
"927"	1008	"los"	1988.77	1711.785	1850.2775	647	"not_sure"	5	"83"	"not_sure"	2
"1725"	1725	"spe"	3407.45	3407.45	3407.45	96	"marine_shallow"	453	"96"	"marine_shallow"	453
"1689"	1689	"spe"	3121.81	3121.81	3121.81	530	"not_sure"	19	"530"	"not_sure"	19
"1627"	1689	"los"	3121.81	2924.365	3023.0875	530	"not_sure"	19	"545"	"terrestrial"	4
"1640"	1640	"spe"	2959.21	2959.21	2959.21	51	"terrestrial"	23	"51"	"terrestrial"	23
"1588"	1599	"los"	2866.055	2842.87	2854.4625	534	"terrestrial"	7	"59"	"not_sure"	15
"1699"	1714	"hgt"	3267.455	3169.945	3218.7	549	"marine_deep.terrestrial"	150	"2"	"not_sure"	12
"1699"	1714	"los"	3267.455	3169.945	3218.7	549	"marine_deep.terrestrial"	150	"2"	"not_sure"	12
"1699"	1699	"spe"	3169.945	3169.945	3169.945	2	"not_sure"	12	"2"	"not_sure"	12
