"right.node"	"left.node"	"event"	"left.date"	"right.date"	"midpoint.date"	"left.BT_node"	"left.origin"	"left.leaves_count"	"right.BT_node"	"right.origin"	"right.leaves_count"
"923"	923	"spe"	1219.565	1219.565	1219.565	87	"not_sure"	4	"87"	"not_sure"	4
"1020"	1091	"hgt"	1475.775	1389.275	1432.525	82	"not_sure"	9	"84"	"marine_shallow"	7
"1020"	1020	"spe"	1389.275	1389.275	1389.275	84	"marine_shallow"	7	"84"	"marine_shallow"	7
"869"	869	"spe"	694.719	694.719	694.719	89	"marine_shallow"	2	"89"	"marine_shallow"	2
"876"	876	"spe"	946.8465	946.8465	946.8465	88	"marine_shallow"	3	"88"	"marine_shallow"	3
"1409"	1409	"spe"	1885.97	1885.97	1885.97	231	"marine_deep"	39	"231"	"marine_deep"	39
"1336"	1336	"spe"	1775.885	1775.885	1775.885	255	"marine_shallow"	15	"255"	"marine_shallow"	15
"1282"	1282	"spe"	1694.565	1694.565	1694.565	257	"not_sure"	13	"257"	"not_sure"	13
"1228"	1282	"hgt"	1694.565	1636.78	1665.6725	257	"not_sure"	13	"259"	"not_sure"	11
"1228"	1228	"spe"	1636.78	1636.78	1636.78	259	"not_sure"	11	"259"	"not_sure"	11
"1145"	1145	"spe"	1544.73	1544.73	1544.73	261	"marine_shallow"	9	"261"	"marine_shallow"	9
"1067"	1145	"los"	1544.73	1436.825	1490.7775	261	"marine_shallow"	9	"263"	"marine_deep"	7
"1377"	1377	"spe"	1836.685	1836.685	1836.685	232	"not_sure"	24	"232"	"not_sure"	24
"1314"	1314	"spe"	1750.105	1750.105	1750.105	238	"marine_deep"	18	"238"	"marine_deep"	18
"1268"	1314	"los"	1750.105	1674.98	1712.5425	238	"marine_deep"	18	"244"	"not_sure"	12
"943"	943	"spe"	1269.475	1269.475	1269.475	85	"marine_shallow"	3	"85"	"marine_shallow"	3
"888"	888	"spe"	1084.09	1084.09	1084.09	86	"marine_deep.terrestrial"	2	"86"	"marine_deep.terrestrial"	2
"1237"	1314	"hgt"	1750.105	1624.365	1687.235	238	"marine_deep"	18	"239"	"not_sure"	6
"1237"	1237	"spe"	1624.365	1624.365	1624.365	239	"not_sure"	6	"239"	"not_sure"	6
"1237"	1237	"spe"	1624.365	1624.365	1624.365	239	"not_sure"	6	"239"	"not_sure"	6
"980"	980	"spe"	1316.195	1316.195	1316.195	258	"not_sure"	2	"258"	"not_sure"	2
"1089"	1089	"spe"	1453.89	1453.89	1453.89	235	"marine_deep"	4	"235"	"marine_deep"	4
"1255"	1255	"spe"	1643.315	1643.315	1643.315	233	"marine_deep"	6	"233"	"marine_deep"	6
"999"	1089	"los"	1453.89	1339.17	1396.53	235	"marine_deep"	4	"236"	"marine_deep"	3
"999"	1089	"hgt"	1453.89	1339.17	1396.53	235	"marine_deep"	4	"236"	"marine_deep"	3
"904"	904	"spe"	1094.241	1094.241	1094.241	242	"not_sure"	3	"242"	"not_sure"	3
"904"	954	"los"	1226.72	1094.241	1160.4805	241	"terrestrial"	4	"242"	"not_sure"	3
"1113"	1113	"spe"	1476.57	1476.57	1476.57	240	"not_sure"	5	"240"	"not_sure"	5
"1113"	1113	"spe"	1476.57	1476.57	1476.57	240	"not_sure"	5	"240"	"not_sure"	5
"954"	1113	"hgt"	1476.57	1226.72	1351.645	240	"not_sure"	5	"241"	"terrestrial"	4
"954"	954	"spe"	1226.72	1226.72	1226.72	241	"terrestrial"	4	"241"	"terrestrial"	4
"954"	954	"spe"	1226.72	1226.72	1226.72	241	"terrestrial"	4	"241"	"terrestrial"	4
"881"	881	"spe"	948.5585	948.5585	948.5585	243	"not_sure"	2	"243"	"not_sure"	2
"1064"	1336	"los"	1775.885	1397.735	1586.81	255	"marine_shallow"	15	"256"	"marine_shallow"	2
