"right.node"	"left.node"	"event"	"left.date"	"right.date"	"midpoint.date"	"left.BT_node"	"left.origin"	"left.leaves_count"	"right.BT_node"	"right.origin"	"right.leaves_count"
"1518"	1606	"hgt"	2445.14	2127.23	2286.185	76	"not_sure"	15	"77"	"not_sure"	4
"1518"	1518	"spe"	2127.23	2127.23	2127.23	77	"not_sure"	4	"77"	"not_sure"	4
"1103"	1103	"spe"	1481.835	1481.835	1481.835	79	"marine_deep"	2	"79"	"marine_deep"	2
"1187"	1187	"spe"	1579.1	1579.1	1579.1	78	"not_sure"	2	"78"	"not_sure"	2
"1497"	1576	"hgt"	2350.185	2081.9	2216.0425	167	"marine_deep.terrestrial"	11	"171"	"marine_deep.terrestrial"	7
"1497"	1497	"spe"	2081.9	2081.9	2081.9	171	"marine_deep.terrestrial"	7	"171"	"marine_deep.terrestrial"	7
"1321"	1321	"spe"	1767.265	1767.265	1767.265	172	"terrestrial"	6	"172"	"terrestrial"	6
"1165"	1165	"spe"	1559.885	1559.885	1559.885	175	"not_sure"	3	"175"	"not_sure"	3
"1150"	1321	"hgt"	1767.265	1547.105	1657.185	172	"terrestrial"	6	"173"	"terrestrial"	3
"1150"	1150	"spe"	1547.105	1547.105	1547.105	173	"terrestrial"	3	"173"	"terrestrial"	3
"902"	902	"spe"	1114.632	1114.632	1114.632	174	"terrestrial"	2	"174"	"terrestrial"	2
"1154"	1394	"hgt"	1867.775	1556.09	1711.9325	168	"not_sure"	4	"169"	"terrestrial"	3
"1154"	1154	"spe"	1556.09	1556.09	1556.09	169	"terrestrial"	3	"169"	"terrestrial"	3
"928"	928	"spe"	1208.648	1208.648	1208.648	170	"not_sure"	2	"170"	"not_sure"	2
"991"	991	"spe"	1348.89	1348.89	1348.89	176	"marine_shallow.terrestrial"	2	"176"	"marine_shallow.terrestrial"	2
"GCA.000434775.1.Bacteria.Actinobacteriota"	1194	"hgt"	1581.31	0	790.655	596	"not_sure"	2	"GCA.000434775.1.Bacteria.Actinobacteriota"	"terrestrial"	0
"GCA.001800605.1.Bacteria.Elusimicrobiota"	1478	"hgt"	2042.61	0	1021.305	124	"not_sure"	10	"GCA.001800605.1.Bacteria.Elusimicrobiota"	"terrestrial"	0
"GCA.001872685.1.Bacteria.Marinisomatota"	1111	"hgt"	1478.665	0	739.3325	483	"not_sure"	2	"GCA.001872685.1.Bacteria.Marinisomatota"	"terrestrial"	0
"GCA.001940755.1.Archaea.Asgardarchaeota"	1187	"los"	1579.1	0	789.55	78	"not_sure"	2	"GCA.001940755.1.Archaea.Asgardarchaeota"	"marine_deep"	0
"GCA.002791075.1.Bacteria.Ratteibacteria"	1604	"hgt"	2437.94	0	1218.97	108	"not_sure"	15	"GCA.002791075.1.Bacteria.Ratteibacteria"	"marine_deep"	0
"GCA.002796125.1.Bacteria.Omnitrophota"	1096	"hgt"	1484.89	0	742.445	120	"marine_shallow.terrestrial"	3	"GCA.002796125.1.Bacteria.Omnitrophota"	"terrestrial"	0
"GCA.002841945.1.Bacteria.Myxococcota"	1036	"hgt"	1389.97	0	694.985	417	"marine_shallow"	2	"GCA.002841945.1.Bacteria.Myxococcota"	"marine_shallow"	0
"GCA.003230355.1.Archaea.Hydrothermarchaeota"	1493	"hgt"	2027.525	0	1013.7625	24	"marine_deep.terrestrial"	2	"GCA.003230355.1.Archaea.Hydrothermarchaeota"	"marine_shallow"	0
"GCF.000949635.1.Bacteria.Planctomycetota"	1266	"hgt"	1653.55	0	826.775	185	"not_sure"	2	"GCF.000949635.1.Bacteria.Planctomycetota"	"terrestrial"	0
"GCF.002277955.1.Bacteria.Planctomycetota"	1394	"hgt"	1867.775	0	933.8875	168	"not_sure"	4	"GCF.002277955.1.Bacteria.Planctomycetota"	"terrestrial"	0
