"right.node","left.node","event","left.date","right.date","midpoint.date","left.BT_node","left.origin","left.leaves_count","right.BT_node","right.origin","right.leaves_count"
"1674",1674,"spe",2803.98,2803.98,2803.98,597,"not_sure",102,"597","not_sure",102
"1651",1651,"spe",2692.555,2692.555,2692.555,609,"marine_shallow",90,"609","marine_shallow",90
"1639",1639,"spe",2619.07,2619.07,2619.07,613,"marine_deep",86,"613","marine_deep",86
"1618",1618,"spe",2495.045,2495.045,2495.045,623,"not_sure",76,"623","not_sure",76
"1607",1607,"spe",2426.135,2426.135,2426.135,642,"not_sure",57,"642","not_sure",57
"1568",1568,"spe",2312.805,2312.805,2312.805,669,"not_sure",30,"669","not_sure",30
"1550",1550,"spe",2240.33,2240.33,2240.33,671,"marine_shallow",28,"671","marine_shallow",28
"1483",1550,"los",2240.33,2049.01,2144.67,671,"marine_shallow",28,"673","not_sure",26
"1423",1423,"spe",1907.445,1907.445,1907.445,678,"not_sure",21,"678","not_sure",21
"1423",1449,"hgt",1971.49,1907.445,1939.4675,676,"not_sure",23,"678","not_sure",21
"1388",1388,"spe",1843.345,1843.345,1843.345,680,"not_sure",19,"680","not_sure",19
"1350",1350,"spe",1785.675,1785.675,1785.675,684,"not_sure",15,"684","not_sure",15
"1317",1317,"spe",1743.235,1743.235,1743.235,685,"not_sure",14,"685","not_sure",14
"1232",1232,"spe",1618.42,1618.42,1618.42,687,"marine_deep",12,"687","marine_deep",12
"1171",1171,"spe",1551.145,1551.145,1551.145,688,"marine_deep",11,"688","marine_deep",11
"1110",1110,"spe",1475,1475,1475,689,"marine_deep",10,"689","marine_deep",10
"1024",1024,"spe",1363,1363,1363,691,"not_sure",8,"691","not_sure",8
"962",1024,"los",1363,1253.275,1308.1375,691,"not_sure",8,"692","not_sure",7
"1289",1431,"hgt",1942.745,1720.66,1831.7025,507,"marine_shallow",5,"508","marine_shallow",4
"1289",1289,"spe",1720.66,1720.66,1720.66,508,"marine_shallow",4,"508","marine_shallow",4
"1554",1554,"spe",2263,2263,2263,643,"not_sure",27,"643","not_sure",27
"1477",1477,"spe",2039.05,2039.05,2039.05,651,"not_sure",19,"651","not_sure",19
"1397",1397,"spe",1862.485,1862.485,1862.485,653,"marine_deep.marine_shallow",17,"653","marine_deep.marine_shallow",17
"1338",1338,"spe",1779.53,1779.53,1779.53,656,"marine_deep.marine_shallow",14,"656","marine_deep.marine_shallow",14
"1034",1034,"spe",1384.555,1384.555,1384.555,668,"not_sure",2,"668","not_sure",2
"1292",1292,"spe",1708.06,1708.06,1708.06,662,"not_sure",8,"662","not_sure",8
"1212",1338,"los",1779.53,1606.55,1693.04,656,"marine_deep.marine_shallow",14,"657","not_sure",6
"1212",1212,"spe",1606.55,1606.55,1606.55,657,"not_sure",6,"657","not_sure",6
"1212",1338,"hgt",1779.53,1606.55,1693.04,656,"marine_deep.marine_shallow",14,"657","not_sure",6
"1086",1086,"spe",1451.1,1451.1,1451.1,659,"marine_deep.marine_shallow",4,"659","marine_deep.marine_shallow",4
"1086",1212,"hgt",1606.55,1451.1,1528.825,657,"not_sure",6,"659","marine_deep.marine_shallow",4
"1086",1086,"spe",1451.1,1451.1,1451.1,659,"marine_deep.marine_shallow",4,"659","marine_deep.marine_shallow",4
"1109",1109,"spe",1512.585,1512.585,1512.585,509,"marine_shallow",3,"509","marine_shallow",3
"897",897,"spe",1096.0955,1096.0955,1096.0955,661,"not_sure",2,"661","not_sure",2
"897",897,"spe",1096.0955,1096.0955,1096.0955,661,"not_sure",2,"661","not_sure",2
"998",998,"spe",1336.995,1336.995,1336.995,660,"not_sure",3,"660","not_sure",3
"998",998,"spe",1336.995,1336.995,1336.995,660,"not_sure",3,"660","not_sure",3
"1615",1615,"spe",2397.09,2397.09,2397.09,610,"marine_shallow.terrestrial",4,"610","marine_shallow.terrestrial",4
"1464",1464,"spe",2064.13,2064.13,2064.13,598,"not_sure",12,"598","not_sure",12
"1390",1390,"spe",1896.845,1896.845,1896.845,604,"marine_shallow",6,"604","marine_shallow",6
"1170",1170,"spe",1584.4,1584.4,1584.4,607,"marine_shallow",3,"607","marine_shallow",3
"1052",1052,"spe",1446.125,1446.125,1446.125,608,"not_sure",2,"608","not_sure",2
"1335",1464,"los",2064.13,1800.4,1932.265,598,"not_sure",12,"599","not_sure",6
"1207",1397,"los",1862.485,1576.575,1719.53,653,"marine_deep.marine_shallow",17,"654","not_sure",3
"1082",1082,"spe",1436.52,1436.52,1436.52,655,"not_sure",2,"655","not_sure",2
"1082",1207,"hgt",1576.575,1436.52,1506.5475,654,"not_sure",3,"655","not_sure",2
"1562",1585,"hgt",2366.93,2294.155,2330.5425,478,"not_sure",28,"479","marine_shallow",22
"1562",1562,"spe",2294.155,2294.155,2294.155,479,"marine_shallow",22,"479","marine_shallow",22
"1514",1514,"spe",2135.355,2135.355,2135.355,484,"not_sure",17,"484","not_sure",17
"1414",1514,"los",2135.355,1900.265,2017.81,484,"not_sure",17,"493","not_sure",8
"1403",1403,"spe",1879.385,1879.385,1879.385,485,"not_sure",9,"485","not_sure",9
"1206",1403,"los",1879.385,1606.29,1742.8375,485,"not_sure",9,"486","not_sure",8
"965",965,"spe",1319.595,1319.595,1319.595,510,"marine_shallow",2,"510","marine_shallow",2
"1381",1381,"spe",1841.045,1841.045,1841.045,480,"marine_shallow",5,"480","marine_shallow",5
