COG	metadata	polarity
COG1833	Mean_Oxygen	negative
COG5013	Mean_Oxygen	negative
COG4012	Mean_Oxygen	negative
COG1274	Mean_Oxygen	negative
COG3261	Mean_Oxygen	negative
COG2006	Mean_Oxygen	negative
COG2403	Mean_Oxygen	negative
COG1014	Mean_Oxygen	negative
COG1148	Mean_Oxygen	negative
COG0581	log_PO4	negative
COG2181	Mean_Oxygen	negative
COG2391	sqrt_iron	positive
COG1117	log_PO4	negative
COG0226	log_PO4	negative
COG0674	Mean_Oxygen	negative
COG1150	Mean_Oxygen	negative
COG0394	log_PO4	negative
COG1140	Mean_Oxygen	negative
COG1379	Mean_Oxygen	negative
COG2044	Mean_Oxygen	negative
COG1013	Mean_Oxygen	negative
COG1030	Mean_Oxygen	negative
COG1856	Mean_Oxygen	negative
COG2164	Mean_Oxygen	negative
COG0573	log_PO4	negative
COG3857	Mean_Oxygen	negative
COG4889	sqrt_iron	negative
COG1775	Mean_Oxygen	negative
COG2180	Mean_Oxygen	negative
COG1144	Mean_Oxygen	negative
COG0247	sqrt_iron	positive
COG0704	log_PO4	negative
COG4647	Mean_Oxygen	negative
COG3365	Mean_Oxygen	negative
COG2221	Mean_Oxygen	negative
COG1592	sqrt_iron	positive
COG3627	log_PO4	negative
COG1647	Mean_Oxygen	negative
COG3624	log_PO4	negative
COG4700	Mean_Oxygen	negative
COG2231	Mean_Oxygen	negative
COG3640	Mean_Oxygen	negative
COG2088	Mean_Oxygen	negative
COG0248	log_PO4	negative
COG4284	Mean_Oxygen	negative
COG1913	Mean_Oxygen	negative
COG3044	Mean_Oxygen	negative
COG2461	Mean_Oxygen	negative
COG2878	sqrt_iron	positive
COG1369	Mean_Oxygen	negative
COG3481	Mean_Oxygen	negative
COG0855	log_PO4	negative
COG3883	Mean_Oxygen	negative
COG2768	Mean_Oxygen	negative
COG3360	Mean_Oxygen	negative
COG3973	Mean_Oxygen	negative
COG2121	Mean_Oxygen	negative
COG3625	log_PO4	negative
COG0746	sqrt_iron	positive
COG4912	Mean_Oxygen	negative
COG5496	Mean_Oxygen	negative
COG1657	Mean_Oxygen	negative
COG1005	Mean_Oxygen	negative
COG2362	Mean_Oxygen	negative
COG2014	Mean_Oxygen	negative
COG3639	log_PO4	negative
COG1760	sqrt_iron	positive
COG3046	Mean_Oxygen	positive
COG4012	log_NO2NO3	positive
COG2168	Mean_Oxygen	negative
COG3626	log_PO4	negative
COG3051	Mean_Oxygen	negative
COG2150	Mean_Oxygen	negative
COG2414	Mean_Oxygen	negative
COG1032	Mean_Oxygen	negative
COG4635	sqrt_iron	negative
COG2223	Mean_Oxygen	negative
COG4106	sqrt_iron	positive
COG1035	Mean_Oxygen	negative
COG1415	Mean_Oxygen	negative
COG3164	sqrt_iron	positive
COG3655	log_PO4	positive
COG4742	Mean_Oxygen	negative
COG1254	Mean_Oxygen	negative
COG4778	log_PO4	negative
COG3245	sqrt_iron	positive
COG1139	Mean_Oxygen	negative
COG4107	log_PO4	negative
COG4731	Mean_Oxygen	positive
COG1934	sqrt_iron	positive
COG3364	Mean_Oxygen	negative
COG4864	Mean_Oxygen	negative
COG0826	Mean_Oxygen	negative
COG2258	sqrt_iron	positive
COG0386	Mean_Oxygen	positive
COG4559	sqrt_iron	negative
COG2316	Mean_Oxygen	negative
COG0683	Mean_Oxygen	negative
COG5309	sqrt_iron	positive
COG3273	Mean_Oxygen	negative
COG1850	sqrt_iron	negative
COG1526	sqrt_iron	positive
COG0300	Mean_Oxygen	positive
COG1426	Mean_Oxygen	negative
COG1838	sqrt_iron	positive
COG2205	sqrt_iron	positive
COG3296	log_PO4	positive
COG4987	sqrt_iron	positive
COG1461	Mean_Oxygen	negative
COG2074	Mean_Oxygen	negative
COG3958	log_NO2NO3	positive
COG1080	Mean_Oxygen	negative
COG1184	Mean_Oxygen	negative
COG3615	log_PO4	positive
COG1695	sqrt_iron	positive
COG0543	sqrt_iron	positive
COG0314	sqrt_iron	positive
COG1392	log_PO4	positive
COG3112	log_PO4	positive
COG0609	sqrt_iron	negative
COG1637	Mean_Oxygen	negative
COG1307	Mean_Oxygen	negative
COG4558	sqrt_iron	negative
COG4263	log_PO4	positive
COG3664	Mean_Oxygen	negative
COG0521	sqrt_iron	positive
COG5421	log_PO4	positive
COG4301	Mean_Oxygen	negative
COG2509	sqrt_iron	positive
COG3886	log_PO4	positive
COG4249	Mean_Oxygen	negative
COG4347	Mean_Oxygen	negative
COG2267	Mean_Oxygen	positive
COG4898	sqrt_iron	positive
COG3961	Mean_Oxygen	negative
COG2430	sqrt_iron	positive
COG0412	Mean_Oxygen	negative
COG1260	Mean_Oxygen	negative
COG4247	log_PO4	negative
COG0303	sqrt_iron	positive
COG3454	log_PO4	negative
COG3155	Mean_Oxygen	negative
COG3372	Mean_Oxygen	negative
COG3269	Mean_Oxygen	negative
COG5014	Mean_Oxygen	negative
COG0315	sqrt_iron	positive
COG1824	Mean_Oxygen	negative
COG3057	log_PO4	positive
COG0306	log_PO4	positive
COG5282	Mean_Oxygen	negative
COG1881	Mean_Oxygen	negative
COG3111	Mean_Oxygen	negative
COG4856	Mean_Oxygen	negative
COG3185	sqrt_iron	positive
COG3783	log_PO4	positive
COG0410	Mean_Oxygen	negative
COG0366	log_NO2NO3	negative
COG1442	log_PO4	negative
COG4682	log_PO4	positive
COG3243	Mean_Oxygen	negative
COG3709	log_PO4	negative
COG3959	log_NO2NO3	positive
COG0243	Mean_Oxygen	negative
COG1951	sqrt_iron	positive
COG3676	Mean_Oxygen	negative
COG2451	Mean_Oxygen	negative
COG3164	log_PO4	positive
COG3803	sqrt_iron	positive
COG3099	log_PO4	positive
COG0713	Mean_Oxygen	negative
COG4231	Mean_Oxygen	negative
COG4289	Mean_Oxygen	negative
COG0415	Mean_Oxygen	positive
COG3978	log_PO4	positive
COG4579	sqrt_iron	positive
COG0220	Mean_Oxygen	positive
COG1007	Mean_Oxygen	negative
COG3287	log_PO4	positive
COG3635	Mean_Oxygen	negative
COG3102	log_PO4	positive
COG5660	Mean_Oxygen	negative
COG0377	Mean_Oxygen	negative
COG4628	log_PO4	positive
COG3782	Mean_Oxygen	positive
COG1350	Mean_Oxygen	negative
COG2128	Mean_Oxygen	negative
COG5395	sqrt_iron	positive
COG3284	sqrt_iron	positive
COG1597	log_PO4	negative
COG1699	Mean_Oxygen	negative
COG3256	Mean_Oxygen	negative
COG0265	Mean_Oxygen	negative
COG3211	sqrt_iron	positive
COG3638	log_PO4	negative
COG0053	sqrt_iron	positive
COG0558	Mean_Oxygen	negative
COG2008	sqrt_iron	positive
COG1313	Mean_Oxygen	negative
COG0838	Mean_Oxygen	negative
COG2864	sqrt_iron	positive
COG1733	sqrt_iron	positive
COG0493	Mean_Oxygen	negative
COG4138	log_PO4	positive
COG4922	log_PO4	positive
COG3197	log_PO4	positive
COG2078	Mean_Oxygen	negative
COG4502	Mean_Oxygen	negative
COG1918	Mean_Oxygen	negative
COG2374	sqrt_iron	positive
COG4242	sqrt_iron	positive
COG5602	Mean_Oxygen	negative
COG1355	Mean_Oxygen	negative
COG3213	Mean_Oxygen	negative
COG1940	sqrt_iron	positive
COG4271	log_NO2NO3	negative
COG4287	Mean_Oxygen	negative
COG4214	Mean_Oxygen	positive
COG1512	sqrt_iron	positive
COG4359	sqrt_iron	positive
COG1180	Mean_Oxygen	negative
COG3656	log_PO4	positive
COG1643	sqrt_iron	positive
COG2896	sqrt_iron	positive
COG2375	Mean_Oxygen	positive
COG4568	log_PO4	positive
COG1887	log_PO4	positive
COG2430	Mean_Oxygen	negative
COG3270	log_PO4	positive
COG3012	sqrt_iron	positive
COG4759	Mean_Oxygen	negative
COG0243	sqrt_iron	positive
COG3608	sqrt_iron	positive
COG2188	sqrt_iron	positive
COG3304	sqrt_iron	positive
COG2335	Mean_Oxygen	positive
COG1900	sqrt_iron	positive
COG4334	log_NO2NO3	negative
COG3005	Mean_Oxygen	negative
COG3221	log_PO4	negative
