COG	metadata	polarity
COG1833	Mean_Oxygen	negative
COG5013	Mean_Oxygen	negative
COG4856	log_depth	positive
COG4012	Mean_Oxygen	negative
COG3363	log_depth	positive
COG1274	Mean_Oxygen	negative
COG5566	log_depth	positive
COG4347	log_depth	positive
COG1307	log_depth	positive
COG5427	log_depth	positive
COG3261	Mean_Oxygen	negative
COG2006	Mean_Oxygen	negative
COG1617	log_depth	positive
COG2768	log_depth	positive
COG2403	Mean_Oxygen	negative
COG1014	Mean_Oxygen	negative
COG1107	log_depth	positive
COG1148	Mean_Oxygen	negative
COG1745	log_depth	positive
COG2150	log_depth	positive
COG1202	log_depth	positive
COG3365	log_depth	positive
COG0581	log_PO4	negative
COG2181	Mean_Oxygen	negative
COG2226	log_depth	negative
COG1461	log_depth	positive
COG2391	sqrt_iron	positive
COG0478	log_depth	positive
COG1117	log_PO4	negative
COG4745	log_depth	positive
COG0226	log_PO4	negative
COG0674	Mean_Oxygen	negative
COG1150	Mean_Oxygen	negative
COG0394	log_PO4	negative
COG1681	log_depth	positive
COG1140	Mean_Oxygen	negative
COG2861	log_depth	positive
COG1379	Mean_Oxygen	negative
COG0561	log_depth	positive
COG2044	Mean_Oxygen	negative
COG1013	Mean_Oxygen	negative
COG1966	log_depth	positive
COG2247	log_depth	positive
COG4242	size_fraction0.22-3	positive
COG3961	size_fraction0.22-3	positive
COG1030	Mean_Oxygen	negative
COG1856	Mean_Oxygen	negative
COG2164	Mean_Oxygen	negative
COG0573	log_PO4	negative
COG3857	Mean_Oxygen	negative
COG4993	log_depth	positive
COG2159	log_depth	positive
COG4552	log_depth	positive
COG4889	sqrt_iron	negative
COG5285	log_depth	positive
COG3083	log_depth	positive
COG2250	log_depth	positive
COG5015	log_depth	positive
COG1775	Mean_Oxygen	negative
COG2235	log_depth	positive
COG3653	log_depth	positive
COG2180	Mean_Oxygen	negative
COG1144	Mean_Oxygen	negative
COG2141	log_depth	positive
COG0247	sqrt_iron	positive
COG1118	log_depth	positive
COG4359	log_depth	positive
COG4012	Absolute_Latitude	positive
COG0704	log_PO4	negative
COG4647	Mean_Oxygen	negative
COG3365	Mean_Oxygen	negative
COG2221	Mean_Oxygen	negative
COG1415	log_depth	positive
COG1592	sqrt_iron	positive
COG1730	log_depth	positive
COG3738	size_fraction0.22-3	positive
COG1921	log_depth	positive
COG3627	log_PO4	negative
COG1647	Mean_Oxygen	negative
COG3624	log_PO4	negative
COG3364	log_depth	positive
COG4700	Mean_Oxygen	negative
COG5530	log_depth	positive
COG2231	Mean_Oxygen	negative
COG3640	Mean_Oxygen	negative
COG0591	log_depth	positive
COG3273	log_depth	positive
COG3799	log_depth	positive
COG4801	log_depth	positive
COG4886	log_depth	positive
COG2088	Mean_Oxygen	negative
COG2380	log_depth	positive
COG1824	log_depth	positive
COG2968	log_depth	positive
COG3083	size_fraction0.22-3	positive
COG0248	log_PO4	negative
COG0043	log_depth	positive
COG1816	log_depth	positive
COG2881	log_depth	positive
COG2956	log_depth	positive
COG4284	Mean_Oxygen	negative
COG1913	Mean_Oxygen	negative
COG4912	log_depth	positive
COG5337	size_fraction0.22-3	positive
COG3044	Mean_Oxygen	negative
COG1545	log_depth	positive
COG2461	Mean_Oxygen	negative
COG2878	sqrt_iron	positive
COG1369	Mean_Oxygen	negative
COG3481	Mean_Oxygen	negative
COG0855	log_PO4	negative
COG5496	log_depth	positive
COG3883	Mean_Oxygen	negative
COG1369	log_depth	positive
COG2768	Mean_Oxygen	negative
COG3360	Mean_Oxygen	negative
COG3973	Mean_Oxygen	negative
COG2121	Mean_Oxygen	negative
COG0181	log_depth	negative
COG1585	log_depth	positive
COG3625	log_PO4	negative
COG5618	log_depth	positive
COG0746	sqrt_iron	positive
COG4912	Mean_Oxygen	negative
COG4012	Mean_Temperature	positive
COG3608	log_depth	positive
COG4627	size_fraction0.22-3	negative
COG1274	log_depth	positive
COG2206	log_depth	positive
COG5496	Mean_Oxygen	negative
COG1657	Mean_Oxygen	negative
COG1005	Mean_Oxygen	negative
COG2362	Mean_Oxygen	negative
COG2014	Mean_Oxygen	negative
COG3639	log_PO4	negative
COG1760	sqrt_iron	positive
COG3577	log_depth	positive
COG4946	size_fraction0.22-3	positive
COG0444	log_depth	positive
COG1171	log_depth	negative
COG3046	Mean_Oxygen	positive
COG4012	log_NO2NO3	positive
COG2168	Mean_Oxygen	negative
COG3626	log_PO4	negative
COG1666	size_fraction0.22-3	negative
COG3590	log_depth	positive
COG3051	Mean_Oxygen	negative
COG3746	log_depth	positive
COG2150	Mean_Oxygen	negative
COG2414	Mean_Oxygen	negative
COG1032	Mean_Oxygen	negative
COG2013	log_depth	positive
COG3296	size_fraction0.22-3	positive
COG5006	log_depth	positive
COG3526	log_depth	positive
COG4347	Mean_Salinity	positive
COG3363	Mean_Salinity	positive
COG0194	log_depth	negative
COG3269	log_depth	positive
COG1681	Mean_Salinity	positive
COG1837	log_depth	positive
COG1850	size_fraction0.22-3	negative
COG4635	sqrt_iron	negative
COG3801	log_depth	positive
COG3051	log_depth	positive
COG2706	log_depth	positive
COG1401	log_depth	positive
COG5518	size_fraction0.22-3	positive
COG0825	log_depth	negative
COG2223	Mean_Oxygen	negative
COG4106	sqrt_iron	positive
COG1035	Mean_Oxygen	negative
COG1415	Mean_Oxygen	negative
COG3164	sqrt_iron	positive
COG3655	log_PO4	positive
COG3949	log_depth	positive
COG5337	log_depth	positive
COG2205	size_fraction0.22-3	positive
COG1497	log_depth	positive
COG0513	Mean_Temperature	negative
COG4742	Mean_Oxygen	negative
COG1254	Mean_Oxygen	negative
COG0163	log_depth	positive
COG3071	log_depth	positive
COG4778	log_PO4	negative
COG3245	sqrt_iron	positive
COG4324	log_depth	positive
COG1546	Mean_Temperature	positive
COG3645	log_depth	positive
COG3901	log_depth	positive
COG4825	log_depth	positive
COG1139	Mean_Oxygen	negative
COG3707	log_depth	positive
COG1300	size_fraction0.22-3	positive
COG3182	log_depth	positive
COG3296	log_depth	positive
COG1055	size_fraction0.22-3	positive
COG0666	log_depth	positive
COG4107	log_PO4	negative
COG4277	log_depth	positive
COG4929	log_depth	positive
COG4731	Mean_Oxygen	positive
COG3488	Mean_Temperature	negative
COG3920	log_depth	positive
COG0824	log_depth	negative
COG0026	log_depth	negative
COG3199	log_depth	positive
COG2922	log_depth	positive
COG5502	log_depth	positive
COG3479	log_depth	positive
COG1934	sqrt_iron	positive
COG3364	Mean_Oxygen	negative
COG3802	log_depth	positive
COG4864	Mean_Oxygen	negative
COG3799	Mean_Salinity	positive
COG3401	log_depth	positive
COG1023	log_depth	positive
COG1812	log_depth	positive
COG2315	log_depth	positive
COG0826	Mean_Oxygen	negative
COG1683	log_depth	positive
COG3228	log_depth	positive
COG4353	log_depth	positive
COG0424	log_depth	negative
COG0656	log_depth	positive
COG1524	log_depth	positive
COG3871	log_depth	positive
COG1529	log_depth	positive
COG1721	log_depth	positive
COG4198	log_depth	positive
COG4195	log_depth	positive
COG2258	sqrt_iron	positive
COG2080	log_depth	positive
COG3573	size_fraction0.22-3	positive
COG0386	Mean_Oxygen	positive
COG4319	log_depth	positive
COG4559	sqrt_iron	negative
COG5652	log_depth	positive
COG0017	size_fraction0.22-3	positive
COG2013	size_fraction0.22-3	positive
COG2316	Mean_Oxygen	negative
COG0683	Mean_Oxygen	negative
COG5309	sqrt_iron	positive
COG0407	log_depth	negative
COG5605	log_depth	positive
COG3273	Mean_Oxygen	negative
COG1850	sqrt_iron	negative
COG3569	log_depth	positive
COG2373	size_fraction0.22-3	positive
COG1526	sqrt_iron	positive
COG3272	log_depth	positive
COG0300	Mean_Oxygen	positive
COG1426	Mean_Oxygen	negative
COG3080	log_depth	positive
COG3663	log_depth	positive
COG1838	sqrt_iron	positive
COG1063	log_depth	positive
COG4608	log_depth	positive
COG1300	log_depth	positive
COG0253	log_depth	negative
COG2205	sqrt_iron	positive
COG3296	log_PO4	positive
COG4987	sqrt_iron	positive
