COG,metadata,polarity,correlation,corr_above_0.6
COG1833,Mean_Oxygen,negative,-0.590967232,FALSE
COG5013,Mean_Oxygen,negative,-0.394660797,FALSE
COG4856,log_depth,positive,0.629721784,TRUE
COG4012,Mean_Oxygen,negative,-0.517165806,FALSE
COG3363,log_depth,positive,0.657798738,TRUE
COG1274,Mean_Oxygen,negative,-0.463521196,FALSE
COG5566,log_depth,positive,0.460194318,FALSE
COG4347,log_depth,positive,0.75854268,TRUE
COG1307,log_depth,positive,0.740559435,TRUE
COG5427,log_depth,positive,0.686092776,TRUE
COG3261,Mean_Oxygen,negative,-0.418920706,FALSE
COG2006,Mean_Oxygen,negative,-0.462808421,FALSE
COG1617,log_depth,positive,0.544738227,FALSE
COG2768,log_depth,positive,0.630713415,TRUE
COG2403,Mean_Oxygen,negative,-0.568581032,FALSE
COG1014,Mean_Oxygen,negative,-0.496510952,FALSE
COG1107,log_depth,positive,0.570061098,FALSE
COG1148,Mean_Oxygen,negative,-0.514523361,FALSE
COG1745,log_depth,positive,0.595404544,FALSE
COG2150,log_depth,positive,0.726282633,TRUE
COG1202,log_depth,positive,0.573322644,FALSE
COG3365,log_depth,positive,0.70793975,TRUE
COG0581,log_PO4,negative,-0.895710518,TRUE
COG2181,Mean_Oxygen,negative,-0.115507187,FALSE
COG2226,log_depth,negative,-0.370729669,FALSE
COG1461,log_depth,positive,0.735308706,TRUE
COG2391,sqrt_iron,positive,0.487589329,FALSE
COG0478,log_depth,positive,0.694742085,TRUE
COG1117,log_PO4,negative,-0.893399672,TRUE
COG4745,log_depth,positive,0.663134215,TRUE
COG0226,log_PO4,negative,-0.893171234,TRUE
COG0674,Mean_Oxygen,negative,-0.516067985,FALSE
COG1150,Mean_Oxygen,negative,-0.456451037,FALSE
COG0394,log_PO4,negative,-0.658845945,TRUE
COG1681,log_depth,positive,0.726758904,TRUE
COG1140,Mean_Oxygen,negative,-0.467807426,FALSE
COG2861,log_depth,positive,0.759879931,TRUE
COG1379,Mean_Oxygen,negative,-0.613034499,TRUE
COG0561,log_depth,positive,0.748638788,TRUE
COG2044,Mean_Oxygen,negative,-0.462860872,FALSE
COG1013,Mean_Oxygen,negative,-0.524688587,FALSE
COG1966,log_depth,positive,0.760844017,TRUE
COG2247,log_depth,positive,0.613549268,TRUE
COG4242,size_fraction,positive,NA,NA
COG3961,size_fraction,positive,NA,NA
COG1030,Mean_Oxygen,negative,-0.563437147,FALSE
COG1856,Mean_Oxygen,negative,-0.475380903,FALSE
COG2164,Mean_Oxygen,negative,-0.428178282,FALSE
COG0573,log_PO4,negative,-0.910340107,TRUE
COG3857,Mean_Oxygen,negative,-0.479004071,FALSE
COG4993,log_depth,positive,0.777041844,TRUE
COG2159,log_depth,positive,0.733998914,TRUE
COG4552,log_depth,positive,0.749231969,TRUE
COG4889,sqrt_iron,negative,-0.570622629,FALSE
COG5285,log_depth,positive,0.673004461,TRUE
COG3083,log_depth,positive,0.631611521,TRUE
COG2250,log_depth,positive,0.522384617,FALSE
COG5015,log_depth,positive,0.369788289,FALSE
COG1775,Mean_Oxygen,negative,-0.625875035,TRUE
COG2235,log_depth,positive,0.680633103,TRUE
COG3653,log_depth,positive,0.766654862,TRUE
COG2180,Mean_Oxygen,negative,-0.492419606,FALSE
COG1144,Mean_Oxygen,negative,-0.388746149,FALSE
COG2141,log_depth,positive,0.746510955,TRUE
COG0247,sqrt_iron,positive,0.506402434,FALSE
COG1118,log_depth,positive,0.725933986,TRUE
COG4359,log_depth,positive,0.660916891,TRUE
COG4012,Absolute_Latitude,positive,-0.096512439,FALSE
COG0704,log_PO4,negative,-0.339326435,FALSE
COG4647,Mean_Oxygen,negative,-0.375484615,FALSE
COG3365,Mean_Oxygen,negative,-0.51923914,FALSE
COG2221,Mean_Oxygen,negative,-0.217633496,FALSE
COG1415,log_depth,positive,0.746128298,TRUE
COG1592,sqrt_iron,positive,0.687048563,TRUE
COG1730,log_depth,positive,0.491269517,FALSE
COG3738,size_fraction,positive,NA,NA
COG1921,log_depth,positive,0.709824087,TRUE
COG3627,log_PO4,negative,-0.573733149,FALSE
COG1647,Mean_Oxygen,negative,-0.471820874,FALSE
COG3624,log_PO4,negative,-0.657870786,TRUE
COG3364,log_depth,positive,0.605983722,TRUE
COG4700,Mean_Oxygen,negative,-0.283403993,FALSE
COG5530,log_depth,positive,0.649732766,TRUE
COG2231,Mean_Oxygen,negative,-0.438955959,FALSE
COG3640,Mean_Oxygen,negative,-0.486930618,FALSE
COG0591,log_depth,positive,0.78594529,TRUE
COG3273,log_depth,positive,0.742862594,TRUE
COG3799,log_depth,positive,0.605151289,TRUE
COG4801,log_depth,positive,0.60795478,TRUE
COG4886,log_depth,positive,0.696020242,TRUE
COG2088,Mean_Oxygen,negative,-0.298284016,FALSE
COG2380,log_depth,positive,0.133549412,FALSE
COG1824,log_depth,positive,0.733844286,TRUE
COG2968,log_depth,positive,0.709573995,TRUE
COG3083,size_fraction,positive,NA,NA
COG0248,log_PO4,negative,-0.707519501,TRUE
COG0043,log_depth,positive,0.76536794,TRUE
COG1816,log_depth,positive,0.744156066,TRUE
COG2881,log_depth,positive,0.620483274,TRUE
COG2956,log_depth,positive,0.741374534,TRUE
COG4284,Mean_Oxygen,negative,-0.316700269,FALSE
COG1913,Mean_Oxygen,negative,-0.263417059,FALSE
COG4912,log_depth,positive,0.694583526,TRUE
COG5337,size_fraction,positive,NA,NA
COG3044,Mean_Oxygen,negative,-0.521988525,FALSE
COG1545,log_depth,positive,0.697506798,TRUE
COG2461,Mean_Oxygen,negative,-0.49919976,FALSE
COG2878,sqrt_iron,positive,0.384203606,FALSE
COG1369,Mean_Oxygen,negative,-0.358347853,FALSE
COG3481,Mean_Oxygen,negative,-0.536753951,FALSE
COG0855,log_PO4,negative,-0.785420155,TRUE
COG5496,log_depth,positive,0.694264399,TRUE
COG3883,Mean_Oxygen,negative,-0.410235816,FALSE
COG1369,log_depth,positive,0.53082489,FALSE
COG2768,Mean_Oxygen,negative,-0.357172392,FALSE
COG3360,Mean_Oxygen,negative,-0.579466998,FALSE
COG3973,Mean_Oxygen,negative,-0.542193611,FALSE
COG2121,Mean_Oxygen,negative,-0.40953174,FALSE
COG0181,log_depth,negative,-0.765676265,TRUE
COG1585,log_depth,positive,0.699485113,TRUE
COG3625,log_PO4,negative,-0.671192176,TRUE
COG5618,log_depth,positive,0.416042363,FALSE
COG0746,sqrt_iron,positive,0.370597855,FALSE
COG4912,Mean_Oxygen,negative,-0.540507315,FALSE
COG4012,Mean_Temperature,positive,-0.449251597,FALSE
COG3608,log_depth,positive,0.710936095,TRUE
COG4627,size_fraction,negative,NA,NA
COG1274,log_depth,positive,0.714180384,TRUE
COG2206,log_depth,positive,0.731832953,TRUE
COG5496,Mean_Oxygen,negative,-0.473173705,FALSE
COG1657,Mean_Oxygen,negative,-0.572627686,FALSE
COG1005,Mean_Oxygen,negative,-0.488568776,FALSE
COG2362,Mean_Oxygen,negative,-0.57353787,FALSE
COG2014,Mean_Oxygen,negative,-0.379874361,FALSE
COG3639,log_PO4,negative,-0.012472132,FALSE
COG1760,sqrt_iron,positive,0.104171422,FALSE
COG3577,log_depth,positive,0.694420085,TRUE
COG4946,size_fraction,positive,NA,NA
COG0444,log_depth,positive,0.720848475,TRUE
COG1171,log_depth,negative,-0.645760139,TRUE
COG3046,Mean_Oxygen,positive,0.486717753,FALSE
COG4012,log_NO2NO3,positive,0.575809041,FALSE
COG2168,Mean_Oxygen,negative,-0.265300605,FALSE
COG3626,log_PO4,negative,-0.579920044,FALSE
COG1666,size_fraction,negative,NA,NA
COG3590,log_depth,positive,0.436640991,FALSE
COG3051,Mean_Oxygen,negative,-0.496735604,FALSE
COG3746,log_depth,positive,0.686216111,TRUE
COG2150,Mean_Oxygen,negative,-0.464760767,FALSE
COG2414,Mean_Oxygen,negative,-0.425127685,FALSE
COG1032,Mean_Oxygen,negative,-0.520587425,FALSE
COG2013,log_depth,positive,0.640781645,TRUE
COG3296,size_fraction,positive,NA,NA
COG5006,log_depth,positive,0.496005693,FALSE
COG3526,log_depth,positive,0.580043345,FALSE
COG4347,Mean_Salinity,positive,-0.055732632,FALSE
COG3363,Mean_Salinity,positive,-0.019209588,FALSE
COG0194,log_depth,negative,-0.787419889,TRUE
COG3269,log_depth,positive,0.56851598,FALSE
COG1681,Mean_Salinity,positive,-0.073897832,FALSE
COG1837,log_depth,positive,0.701577957,TRUE
COG1850,size_fraction,negative,NA,NA
COG4635,sqrt_iron,negative,-0.587731233,FALSE
COG3801,log_depth,positive,0.352539166,FALSE
COG3051,log_depth,positive,0.712343758,TRUE
COG2706,log_depth,positive,0.636583712,TRUE
COG1401,log_depth,positive,0.72489764,TRUE
COG5518,size_fraction,positive,NA,NA
COG0825,log_depth,negative,-0.794553817,TRUE
COG2223,Mean_Oxygen,negative,-0.463379922,FALSE
COG4106,sqrt_iron,positive,0.424139906,FALSE
COG1035,Mean_Oxygen,negative,-0.519576975,FALSE
COG1415,Mean_Oxygen,negative,-0.382137273,FALSE
COG3164,sqrt_iron,positive,0.222813394,FALSE
COG3655,log_PO4,positive,0.644880882,TRUE
COG3949,log_depth,positive,0.729388883,TRUE
COG5337,log_depth,positive,0.688205184,TRUE
COG2205,size_fraction,positive,NA,NA
COG1497,log_depth,positive,0.699507292,TRUE
COG0513,Mean_Temperature,negative,-0.649247062,TRUE
COG4742,Mean_Oxygen,negative,-0.277610567,FALSE
COG1254,Mean_Oxygen,negative,-0.418922159,FALSE
COG0163,log_depth,positive,0.752968198,TRUE
COG3071,log_depth,positive,0.678865753,TRUE
COG4778,log_PO4,negative,-0.590300219,FALSE
COG3245,sqrt_iron,positive,0.592656003,FALSE
COG4324,log_depth,positive,0.69788356,TRUE
COG1546,Mean_Temperature,positive,0.799807856,TRUE
COG3645,log_depth,positive,0.661441397,TRUE
COG3901,log_depth,positive,0.67995098,TRUE
COG4825,log_depth,positive,0.441669813,FALSE
COG1139,Mean_Oxygen,negative,-0.505572169,FALSE
COG3707,log_depth,positive,0.710111446,TRUE
COG1300,size_fraction,positive,NA,NA
COG3182,log_depth,positive,0.677073838,TRUE
COG3296,log_depth,positive,0.650173434,TRUE
COG1055,size_fraction,positive,NA,NA
COG0666,log_depth,positive,0.751872577,TRUE
COG4107,log_PO4,negative,-0.593254731,FALSE
COG4277,log_depth,positive,0.63267032,TRUE
COG4929,log_depth,positive,0.633269879,TRUE
COG4731,Mean_Oxygen,positive,0.320933999,FALSE
COG3488,Mean_Temperature,negative,-0.518395135,FALSE
COG3920,log_depth,positive,0.732749597,TRUE
COG0824,log_depth,negative,-0.780609925,TRUE
COG0026,log_depth,negative,-0.804572149,TRUE
COG3199,log_depth,positive,0.63674478,TRUE
COG2922,log_depth,positive,0.614154659,TRUE
COG5502,log_depth,positive,0.453911033,FALSE
COG3479,log_depth,positive,0.50196635,FALSE
COG1934,sqrt_iron,positive,0.283540127,FALSE
COG3364,Mean_Oxygen,negative,-0.458344836,FALSE
COG3802,log_depth,positive,0.720142234,TRUE
COG4864,Mean_Oxygen,negative,-0.5370671,FALSE
COG3799,Mean_Salinity,positive,-0.06087651,FALSE
COG3401,log_depth,positive,0.612691366,TRUE
COG1023,log_depth,positive,0.715155808,TRUE
COG1812,log_depth,positive,0.688365507,TRUE
COG2315,log_depth,positive,0.576675459,FALSE
COG0826,Mean_Oxygen,negative,-0.488249907,FALSE
COG1683,log_depth,positive,0.657602224,TRUE
COG3228,log_depth,positive,0.638267425,TRUE
COG4353,log_depth,positive,0.107523056,FALSE
