"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Lh",-455.411695048,-455.1161065,-457.382259,-454.414308,999.999999999999,1,"passed",0.569785884135178,"passed",0.963690381977747,"passed",0.0587431689728297
"qAB",6.122943371,6.109887,4.342517,7.897162,712.643115555677,1,"passed",0.903635727137332,"passed",0.963690381977747,"passed",0.0693940749384679
"qAC",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qBA",0.862574367,0.8609815,0.644087,1.074103,1000,1,"passed",0.391506974147898,"passed",0.963690381977747,"passed",0.00696657045149573
"qBC",6.122572754,6.103886,4.371028,7.897162,923.610941294871,1,"passed",0.95060030851969,"passed",0.963690381977747,"passed",0.059911062529005
"qCA",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qCB",0.862082982,0.859767,0.642735,1.071636,1000,1,"passed",0.373077164384173,"passed",0.963690381977747,"passed",0.00695267518550995
"No.Off.Parmeters",2.00142857142857,2,2,2,999.999999999996,301,"passed",0.630860105849157,"passed",0.963690381977747,"passed",0.00279999999999997
"Root.P.A.",0.020418795,0.0118675,8.6e-05,0.071687,847.530870349863,1,"passed",0.677906086453579,"passed",0.963690381977747,"passed",0.00159153862209854
"Root.P.B.",0.252118175,0.254402,0.066448,0.406421,921.291308491037,1,"passed",0.492802044429834,"passed",0.963690381977747,"passed",0.00611769694511153
"Root.P.C.",0.727463035,0.7332885,0.53153,0.947335,905.319132364373,1,"passed",0.515178591171328,"passed",0.963690381977747,"passed",0.00746237778451122
"Node0.P.A.",0.048285365,0.036908,0.000101,0.12876,863.603842094871,1,"passed",0.5898542984049,"passed",0.963690381977747,"passed",0.00264996936487352
"Node0.P.B.",0.31901041,0.329323,0.154146,0.447017,1000,1,"passed",0.453595427351295,"passed",0.963690381977747,"passed",0.00500372625943006
"Node0.P.C.",0.632704244,0.632697,0.42869,0.859184,905.382030306091,1,"passed",0.474655824162727,"passed",0.963690381977747,"passed",0.00750604755820568
"Node1.P.A.",0.047325801,0.0365805,0.001335,0.128667,867.149443419823,1,"passed",0.640544396096155,"passed",0.963690381977747,"passed",0.00256518440782655
"Node1.P.B.",0.274402776,0.282608,0.130707,0.390231,930.890179246302,1,"passed",0.5612016768779,"passed",0.963690381977747,"passed",0.00472098716195257
"Node1.P.C.",0.678271429,0.680312,0.489423,0.895953,912.598876379446,1,"passed",0.573484618449886,"passed",0.963690381977747,"passed",0.00703646086496325
"Node2.P.A.",0.095703387,0.079312,0.000187,0.230978,879.638973351768,1,"passed",0.566336069332641,"passed",0.963690381977747,"passed",0.00456252247751352
"Node2.P.B.",0.341515196,0.361574,0.198127,0.435227,999.999999999999,1,"passed",0.524814526440843,"passed",0.963690381977747,"passed",0.00421138776921439
"Node2.P.C.",0.562781409,0.5584265,0.339226,0.826597,912.527154636091,1,"passed",0.514567073763828,"passed",0.963690381977747,"passed",0.0083746246365646
"Node3.P.A.",0.1162722,0.108911,0.015809,0.227766,900.662139266425,1,"passed",0.552383018165065,"passed",0.963690381977747,"passed",0.00384130918689057
"Node3.P.B.",0.349885566,0.3624545,0.263196,0.403964,1000,1,"passed",0.543372706433963,"passed",0.963690381977747,"passed",0.00248098384650881
"Node3.P.C.",0.533842217,0.527663,0.368874,0.728342,914.059164868855,1,"passed",0.812709867826485,"passed",0.963690381977747,"passed",0.00609354463400871
"Node4.P.A.",0.124476709,0.123175,0.054063,0.19846,912.70742117491,1,"passed",0.855295134660274,"passed",0.963690381977747,"passed",0.00245828025390875
"Node4.P.B.",0.35502434,0.359924,0.309498,0.394168,914.852343566039,1,"passed",0.515629179086918,"passed",0.963690381977747,"passed",0.00149353403530057
"Node4.P.C.",0.520498959,0.516812,0.405414,0.633139,914.290712510507,1,"passed",0.833573105427256,"passed",0.963690381977747,"passed",0.00384432884119861
"Node5.P.A.",0.059459833,0.0564645,0.01629,0.105333,898.902586375372,1,"passed",0.585354956957655,"passed",0.963690381977747,"passed",0.00155041347413216
"Node5.P.B.",0.443888505,0.4477865,0.344849,0.526768,1000,1,"passed",0.375029612250224,"passed",0.963690381977747,"passed",0.00303719601448138
"Node5.P.C.",0.496651667,0.495362,0.366104,0.632249,999.999999999999,1,"passed",0.418828536675072,"passed",0.963690381977747,"passed",0.00436515153236437
"Node6.P.A.",0.03642522,0.0337735,0.009447,0.068921,891.749594621924,1,"passed",0.606547780358738,"passed",0.963690381977747,"passed",0.00106370520487298
"Node6.P.B.",0.541392424,0.542667,0.4507,0.625639,1000,1,"passed",0.309548420027131,"passed",0.963690381977747,"passed",0.00295520206058252
"Node6.P.C.",0.422182352,0.4215,0.314129,0.54188,1000,1,"passed",0.347881131019183,"passed",0.963690381977747,"passed",0.00378899858116403
"Node7.P.A.",0.00145776,0.0010265,5e-06,0.004331,860.741731490445,1,"passed",0.738094863966852,"passed",0.963690381977747,"passed",9.19421332362338e-05
"Node7.P.B.",0.071746622,0.066552,0.016674,0.136673,891.688149360502,1,"passed",0.642953800010979,"passed",0.963690381977747,"passed",0.00216387583878217
"Node7.P.C.",0.926795647,0.9324145,0.857684,0.98202,890.220419730424,1,"passed",0.646714317529913,"passed",0.963690381977747,"passed",0.00225244322780914
"Node8.P.A.",0.004279025,0.003586,0.000417,0.010404,879.091985410357,1,"passed",0.72192584363339,"passed",0.963690381977747,"passed",0.000192439615306302
"Node8.P.B.",0.105560823,0.102767,0.041128,0.169408,905.685828441116,1,"passed",0.656039988096561,"passed",0.963690381977747,"passed",0.00221233401966658
"Node8.P.C.",0.890160164,0.893582,0.819947,0.958328,903.583140270161,1,"passed",0.660570862173922,"passed",0.963690381977747,"passed",0.00239970544961335
"Node9.P.A.",0.003003154,0.002418,0.000205,0.007732,872.264011236767,1,"passed",0.689596356079271,"passed",0.963690381977747,"passed",0.000148425464716139
"Node9.P.B.",0.102925866,0.0988535,0.033398,0.176758,898.70714471836,1,"passed",0.589285158373905,"passed",0.963690381977747,"passed",0.00250766902897126
"Node9.P.C.",0.894070965,0.8986445,0.817261,0.968533,897.158619298121,1,"passed",0.594112328818817,"passed",0.963690381977747,"passed",0.00265133586250866
"Node10.P.A.",0.00288215,0.002381,0.00024,0.007109,872.714603582634,1,"passed",0.638931398617622,"passed",0.963690381977747,"passed",0.000133516511779152
"Node10.P.B.",0.1571046,0.1530915,0.059784,0.263514,895.761874214578,1,"passed",0.475952669661709,"passed",0.963690381977747,"passed",0.00359391641416552
"Node10.P.C.",0.840013245,0.8445125,0.728758,0.939733,894.794458784694,1,"passed",0.480334066298546,"passed",0.963690381977747,"passed",0.00372010070828332
"Node11.P.A.",0.000768924,0.000603,6.6e-05,0.001994,883.841814004231,1,"passed",0.837031299096439,"passed",0.963690381977747,"passed",3.98687943003121e-05
"Node11.P.B.",0.048956163,0.0467065,0.017037,0.083655,910.504493050608,1,"passed",0.776959308793379,"passed",0.963690381977747,"passed",0.00117711574332962
"Node11.P.C.",0.950274902,0.9526925,0.914292,0.982885,909.613968325088,1,"passed",0.778983573994181,"passed",0.963690381977747,"passed",0.00121570986485121
"Node12.P.A.",0.001667453,0.001329,0.000142,0.004246,885.337273882761,1,"passed",0.829027252967191,"passed",0.963690381977747,"passed",8.38288218852473e-05
"Node12.P.B.",0.0692876,0.0668865,0.029058,0.11792,914.56495646984,1,"passed",0.768936290474365,"passed",0.963690381977747,"passed",0.00155336156921664
"Node12.P.C.",0.929044939,0.9317895,0.87742,0.970711,913.114277889502,1,"passed",0.771934903457412,"passed",0.963690381977747,"passed",0.00163427082049186
"Node13.P.A.",0.015525307,0.0140075,0.002588,0.031788,903.206860669301,1,"passed",0.779735259673618,"passed",0.963690381977747,"passed",0.000544136609581161
"Node13.P.B.",0.175265783,0.1752535,0.10293,0.244768,926.537639775102,1,"passed",0.94731296878983,"passed",0.963690381977747,"passed",0.00241850490007448
"Node13.P.C.",0.809208917,0.810815,0.720826,0.893176,923.052094777936,1,"passed",0.94295290306265,"passed",0.963690381977747,"passed",0.00294700095323343
"Node14.P.A.",0.000582385,0.0004255,3e-06,0.001606,878.827013977802,1,"passed",0.851844966191261,"passed",0.963690381977747,"passed",3.47651309987421e-05
"Node14.P.B.",0.043481219,0.040736,0.013262,0.079052,905.890547338647,1,"passed",0.783987792290639,"passed",0.963690381977747,"passed",0.00118511679475086
"Node14.P.C.",0.955936388,0.958841,0.919248,0.986694,905.036718967745,1,"passed",0.786234472803589,"passed",0.963690381977747,"passed",0.0012185739614363
"Node15.P.A.",0.001901146,0.0015235,0.000177,0.004792,885.554227740882,1,"passed",0.829090568824741,"passed",0.963690381977747,"passed",9.40859533006671e-05
"Node15.P.B.",0.073237363,0.070573,0.031508,0.124458,913.464831826503,1,"passed",0.769978055036916,"passed",0.963690381977747,"passed",0.00162592530222386
"Node15.P.C.",0.924861487,0.927909,0.874667,0.972473,911.968342956392,1,"passed",0.77313043758686,"passed",0.963690381977747,"passed",0.00171694624815095
"Node16.P.A.",0.002666238,0.0024025,0.000481,0.005438,902.220816774759,1,"passed",0.786014728421079,"passed",0.963690381977747,"passed",9.26667900000231e-05
"Node16.P.B.",0.081812745,0.080912,0.045806,0.119216,921.021074941966,1,"passed",0.945083505873335,"passed",0.963690381977747,"passed",0.00125907031581922
"Node16.P.C.",0.915521024,0.916691,0.87497,0.953506,919.909460346647,1,"passed",0.943422874969526,"passed",0.963690381977747,"passed",0.0013497764336776
"Node17.P.A.",0.000135406,0.000108,1.3e-05,0.000343,885.271138799814,1,"passed",0.83506238009416,"passed",0.963690381977747,"passed",6.78929456164234e-06
"Node17.P.B.",0.021171854,0.020205,0.00764,0.036028,909.854406553373,1,"passed",0.783985195965663,"passed",0.963690381977747,"passed",0.000500620408899805
"Node17.P.C.",0.978692766,0.979688,0.96362,0.992345,909.51248537614,1,"passed",0.784700410332133,"passed",0.963690381977747,"passed",0.000507220877227317
"Node18.P.A.",0.000259198,0.0002245,3.9e-05,0.000571,895.352638175019,1,"passed",0.807773374519084,"passed",0.963690381977747,"passed",1.03109826593573e-05
"Node18.P.B.",0.027561092,0.0268795,0.013919,0.043433,915.549652177254,1,"passed",0.776164783038748,"passed",0.963690381977747,"passed",0.000511708726768846
"Node18.P.C.",0.97217973,0.9728965,0.955949,0.986024,915.179193092509,1,"passed",0.776735487222694,"passed",0.963690381977747,"passed",0.000521797051021105
"Node19.P.A.",4.6105e-05,3.7e-05,5e-06,0.000116,886.170203000412,1,"passed",0.833818612690625,"passed",0.963690381977747,"passed",2.28210008490426e-06
"Node19.P.B.",0.012503859,0.0119345,0.004617,0.021173,909.351791780403,1,"passed",0.786889739970014,"passed",0.963690381977747,"passed",0.000291899248368017
"Node19.P.C.",0.98745002,0.9880285,0.978708,0.995377,909.156599700568,1,"passed",0.787265950972898,"passed",0.963690381977747,"passed",0.000294123467074117
"Node20.P.A.",2.8147e-05,2.2e-05,3e-06,7.5e-05,884.290743882731,1,"passed",0.844058396208177,"passed",0.963690381977747,"passed",1.50518619870991e-06
"Node20.P.B.",0.009834049,0.009264,0.003249,0.01723,905.679133264602,1,"passed",0.793661854612108,"passed",0.963690381977747,"passed",0.000250403692015108
"Node20.P.C.",0.990137784,0.9907145,0.982695,0.996748,905.53978585703,1,"passed",0.794027654591675,"passed",0.963690381977747,"passed",0.000251866868582531
"Node21.P.A.",0.000142515,0.000117,1.6e-05,0.000344,888.123943471157,1,"passed",0.826716317807432,"passed",0.963690381977747,"passed",6.59979081108909e-06
"Node21.P.B.",0.021357736,0.020538,0.009611,0.03618,911.467055981794,1,"passed",0.782836518791769,"passed",0.963690381977747,"passed",0.000465199986541706
"Node21.P.C.",0.978499741,0.979345,0.963443,0.990365,911.148032404467,1,"passed",0.783404271334975,"passed",0.963690381977747,"passed",0.000471631376588416
"Node22.P.A.",0.001162828,0.0009975,0.00016,0.002619,893.877430085391,1,"passed",0.808604595342905,"passed",0.963690381977747,"passed",4.7903335775186e-05
"Node22.P.B.",0.057358892,0.0559725,0.028378,0.090754,916.387028525219,1,"passed",0.772495844535529,"passed",0.963690381977747,"passed",0.00108196509823033
"Node22.P.C.",0.941478286,0.9430325,0.906408,0.971384,915.506425475228,1,"passed",0.773792182178321,"passed",0.963690381977747,"passed",0.00112871056595249
"Node23.P.A.",0.000956459,0.0007805,9.5e-05,0.002346,888.122951088718,1,"passed",0.824232846170261,"passed",0.963690381977747,"passed",4.53311259124212e-05
"Node23.P.B.",0.053588567,0.0518245,0.023621,0.089722,914.313045489517,1,"passed",0.773345904284525,"passed",0.963690381977747,"passed",0.00115384392940536
"Node23.P.C.",0.945454972,0.947397,0.907715,0.976229,913.361364749931,1,"passed",0.775151601512216,"passed",0.963690381977747,"passed",0.00119781205241769
"Node24.P.A.",0.009250792,0.008586,0.001954,0.017603,909.420547806847,1,"passed",0.766477613660239,"passed",0.963690381977747,"passed",0.000283918842691435
"Node24.P.B.",0.140539553,0.140453,0.086841,0.192322,925.724546157606,1,"passed",0.949434852817153,"passed",0.963690381977747,"passed",0.00179434538899394
"Node24.P.C.",0.850209647,0.8509695,0.788815,0.91039,923.954088870416,1,"passed",0.946047395612177,"passed",0.963690381977747,"passed",0.00207229853925023
"Node25.P.A.",0.000982415,0.0008865,0.000178,0.001996,903.159635952899,1,"passed",0.781757912746202,"passed",0.963690381977747,"passed",3.39066305232618e-05
"Node25.P.B.",0.053118236,0.052448,0.029187,0.078403,920.512410126443,1,"passed",0.944954465879164,"passed",0.963690381977747,"passed",0.000845233368695322
"Node25.P.C.",0.945899339,0.946667,0.919463,0.970559,919.937583505052,1,"passed",0.94397301097486,"passed",0.963690381977747,"passed",0.000878474486671594
"Node26.P.A.",0.000806624,0.0006615,8.1e-05,0.001967,888.591216746721,1,"passed",0.821471551550275,"passed",0.963690381977747,"passed",3.78511057765126e-05
"Node26.P.B.",0.049641142,0.048022,0.021757,0.083167,914.572667615319,1,"passed",0.773121563659417,"passed",0.963690381977747,"passed",0.00107205458104206
"Node26.P.C.",0.94955219,0.951318,0.914687,0.978115,913.734382518055,1,"passed",0.774696219880347,"passed",0.963690381977747,"passed",0.00110879459054655
"Node27.P.A.",0.000878984,0.0007515,0.000109,0.002001,894.687178920092,1,"passed",0.806195375193328,"passed",0.963690381977747,"passed",3.68852665357455e-05
"Node27.P.B.",0.052768033,0.0515895,0.025184,0.083891,917.72117961392,1,"passed",0.769990768444334,"passed",0.963690381977747,"passed",0.00101706185065062
"Node27.P.C.",0.946352989,0.9476605,0.91394,0.97465,916.989665176436,1,"passed",0.771016828157794,"passed",0.963690381977747,"passed",0.0010529756926312
"Node28.P.A.",0.004407892,0.0040655,0.000914,0.008512,907.961751759686,1,"passed",0.769828618615842,"passed",0.963690381977747,"passed",0.000138790285990108
"Node28.P.B.",0.104109511,0.103636,0.062496,0.146396,923.912676808732,1,"passed",0.948140611158753,"passed",0.963690381977747,"passed",0.00143098645925352
"Node28.P.C.",0.891482602,0.892305,0.844448,0.936267,922.755104860624,1,"passed",0.945886344947403,"passed",0.963690381977747,"passed",0.00156702044294848
"Node29.P.A.",0.004493288,0.004034,0.000705,0.009332,902.984199845318,1,"passed",0.781750632434476,"passed",0.963690381977747,"passed",0.000161582918408153
"Node29.P.B.",0.107267401,0.106569,0.058455,0.155388,923.586166563765,1,"passed",0.945824454049298,"passed",0.963690381977747,"passed",0.0016574025109019
