"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Lh",-245.419259522,-245.0049835,-248.447521,-243.959239,999.999999999998,1,"passed",0.256652011855862,"passed",0.285850674375325,"passed",0.0853479129446442
"qAB",2.994891181,3.043728,1.045181,5.314963,1000,1,"passed",0.105922144639072,"passed",0.16366720860498,"passed",0.064042909650798
"qAC",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qBA",3.086839427,3.0569615,1.5845,4.715492,911.49187996474,1,"passed",0.0941344024602643,"passed",0.160550480044659,"passed",0.0529864724222251
"qBC",NA,59.3440935,30.105503,99.945874,804.920719106904,NA,"failed",0.010896328025453,"passed",0.160550480044659,NA,NA
"qCA",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qCB",3.080606123,3.0489785,1.5845,4.69477,895.276484513645,1,"passed",0.0917292990635523,"passed",0.160550480044659,"passed",0.0529041458143299
"No.Off.Parmeters",2.00333333333333,2,2,2,720.995513105865,101,"passed",0.572074915706095,"passed",0.588631539313735,"passed",0.0037678236252304
"Root.P.A.",0.0627648955555556,0.042063,0,0.198982,999.999999999999,101,"passed",0.0871874600767656,"passed",0.160550480044659,"passed",0.00453168583109397
"Root.P.B.",NA,0.5090065,0.405116,0.601672,888.784203653451,NA,"failed",0.0132356397319769,"passed",0.160550480044659,NA,NA
"Root.P.C.",0.426533723,0.435225,0.323949,0.455966,1000,1,"passed",0.0860714510175061,"passed",0.160550480044659,"passed",0.00241661273197928
"Node0.P.A.",0.389619345714286,0.4154255,0,0.665916,1000,301,"passed",0.0975597094977387,"passed",0.161905914692806,"passed",0.0137754212084729
"Node0.P.B.",NA,0.409493,0.199034,0.690389,895.633840092516,NA,"failed",0.00732958526621941,"passed",0.160550480044659,NA,NA
"Node0.P.C.",0.178438912,0.170517,0.101997,0.23353,1000,1,"passed",0.320893686287332,"passed",0.348915388470169,"passed",0.00408091160526421
"Node1.P.A.",0.60698273,0.6513025,0.186817,0.79388,1000,1,"passed",0.111896018929851,"passed",0.165952975491904,"passed",0.0105831321010745
"Node1.P.B.",0.309615066,0.282853,0.163258,0.571161,893.014662896951,1,"passed",0.099538024318067,"passed",0.161999063368763,"passed",0.00785184125279561
"Node1.P.C.",0.083402212,0.0683195,0.034254,0.11296,1000,1,"passed",0.754757174225797,"passed",0.759818884038042,"passed",0.00432795752514333
"Node2.P.A.",0.0411300371428571,0.0394445,0,0.084722,999.999999999999,301,"passed",0.14345189510062,"passed",0.192074836750186,"passed",0.00169660874613429
"Node2.P.B.",0.479975267,0.4772385,0.448599,0.513545,858.669718138642,1,"passed",0.0724716097759944,"passed",0.160550480044659,"passed",0.00134770308200557
"Node2.P.C.",0.477564751,0.4801425,0.446393,0.49874,1000,1,"passed",0.0599098296842853,"passed",0.160550480044659,"passed",0.00108970144574526
"Node3.P.A.",0.00530614777777778,0.004134,0,0.014766,801.036302047776,101,"passed",0.123802657576142,"passed",0.175414148280407,"passed",0.000328986455981889
"Node3.P.B.",0.467230007,0.469473,0.447882,0.479381,719.041492410421,1,"passed",0.095725264768057,"passed",0.161202370335299,"passed",0.00068015528484188
"Node3.P.C.",NA,0.5250845,0.510455,0.55154,877.350264807792,NA,"failed",0.00251050055808688,"passed",0.160550480044659,NA,NA
