"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Lh",-1091.4908852625,-1091.219654,-1094.282786,-1089.830815,1000,201,"passed",0.114286060521674,"passed",0.453961691487008,"passed",0.0927817357820243
"qAB",3.81112388,2.8865,1.955171,6.372197,137.380812551713,1,"passed",0.12550765628226,"passed",0.453961691487008,"passed",0.267546933167519
"qAC",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qBA",2.733292638,2.690816,1.967137,3.760209,301.75566021886,1,"passed",0.274800767646002,"passed",0.564380376264392,"passed",0.0532887793853411
"qBC",5.831827665,5.820675,4.866023,6.897428,878.684470684777,1,"passed",0.768422187645228,"passed",0.912981687754976,"passed",0.034383428699682
"qCA",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qCB",0.941158956,0.942749,0.682197,1.23557,1000,1,"passed",0.851127937044682,"passed",0.915998727871835,"passed",0.00867737436132186
"No.Off.Parmeters",3.011,3,3,3,999.999999999997,1,"passed",0.612675818128066,"passed",0.912981687754976,"passed",0.00646796730055132
"Root.P.A.",0.662920415,0.664234,0.593778,0.713677,545.101158770154,1,"passed",0.102113012273697,"passed",0.453961691487008,"passed",0.00246257391962881
"Root.P.B.",0.299805688,0.29949,0.25544,0.345043,587.363399086973,1,"passed",0.0889859859766639,"passed",0.453961691487008,"passed",0.00179247314179244
"Root.P.C.",0.037273898,0.0362865,0.020329,0.054789,540.717099034648,1,"passed",0.202725875909847,"passed",0.458132661254243,"passed",0.000739138642005415
"Node0.P.A.",0.930410799,0.939746,0.853566,0.984318,312.615194088311,1,"passed",0.151326180586351,"passed",0.453961691487008,"passed",0.00414274878734839
"Node0.P.B.",0.069446948,0.0601095,0.015674,0.145988,312.399642747999,1,"passed",0.15139876314712,"passed",0.453961691487008,"passed",0.00413090072566322
