"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Lh",-32.788827643,-32.4484445,-34.724889,-31.9556,999.999999999999,1,"passed",0.19507491612979,"passed",0.958832635699898,"passed",0.0575513293710696
"qAB",0.518868194,0.4299495,0,1.193729,705.521884763011,1,"passed",0.918569653113722,"passed",0.958832635699898,"failed",0.131716569168321
"qAC",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qBA",0.710594639,0.650521,0.261777,1.246719,856.920340440664,1,"passed",0.812417837658298,"passed",0.958832635699898,"passed",0.0425099399926845
"qBC",0.686572862,0.6057115,0,1.202507,688.732688741184,1,"passed",0.751396128220977,"passed",0.958832635699898,"failed",0.124184224203589
"qCA",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qCB",0.713050906,0.6539245,0.264524,1.237424,857.690681698405,1,"passed",0.677621630630676,"passed",0.958832635699898,"passed",0.0423252426280516
"No.Off.Parmeters",1.017,1,1,1,999.999999999987,1,"passed",0.736806036338751,"passed",0.958832635699898,"passed",0.00801631079979062
"Root.P.A.",0.002020597,0,0,0.000117,845.159567630852,1,"passed",0.848015265434602,"passed",0.958832635699898,"failed",0.00243219800003677
"Root.P.B.",0.008061704,0.0048315,0,0.021155,705.991418783464,1,"passed",0.901835843442456,"passed",0.958832635699898,"failed",0.00159900775988573
"Root.P.C.",0.989917702,0.9951645,0.978384,1,692.168103155362,1,"passed",0.880147296840458,"passed",0.958832635699898,"passed",0.0036416624831852
"Node0.P.A.",0.001203617,2.5e-06,0,0.000257,576.787160952546,1,"passed",0.893811218882971,"passed",0.958832635699898,"failed",0.00146870910752001
"Node0.P.B.",0.029669232,0.027975,0,0.052449,849.118796094087,1,"passed",0.719570833930325,"passed",0.958832635699898,"passed",0.00233324586199232
"Node0.P.C.",0.96912714,0.972025,0.947283,1,701.528129686899,1,"passed",0.795992449486603,"passed",0.958832635699898,"passed",0.0036131249807476
"Node1.P.A.",0.001010716,0,0,5.2e-05,536.946928494573,1,"passed",0.901493179420744,"passed",0.958832635699898,"failed",0.00140212123155743
"Node1.P.B.",0.00676517,0.003606,0,0.014995,826.056124549882,1,"passed",0.821918844784809,"passed",0.958832635699898,"failed",0.00227931314375245
"Node1.P.C.",0.99222412,0.996391,0.984946,1,735.673897424146,1,"passed",0.848530768812743,"passed",0.958832635699898,"passed",0.00337615248983706
"Node2.P.A.",0.000865105,0,0,3.6e-05,571.6927329444,1,"passed",0.855610989432186,"passed",0.958832635699898,"failed",0.00124335372923261
"Node2.P.B.",0.005672856,0.0026895,0,0.011358,836.899133647902,1,"passed",0.821814863245437,"passed",0.958832635699898,"failed",0.00236639132931504
"Node2.P.C.",0.993462034,0.9973095,0.98815,1,731.308362010835,1,"passed",0.838030584916696,"passed",0.958832635699898,"passed",0.00331564573253829
"Node3.P.A.",0.000836528,0,0,4e-05,510.319206342129,1,"passed",0.847872060468183,"passed",0.958832635699898,"failed",0.00129808119490707
