"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Lh",-762.928401918333,-762.8593685,-765.901113,-758.065763,822.808691688621,401,"passed",0.193369979719938,"passed",0.72445110954245,"passed",0.153873351558196
"qAB",7.711488558,8.194786,2.584452,10.777138,505.360278976774,1,"passed",0.621470821738079,"passed",0.749386984972991,"passed",0.194051693037558
"qAC",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qBA",7.616973137,8.1561185,2.584452,10.777138,533.171811284635,1,"passed",0.65727109616848,"passed",0.770390539037204,"passed",0.193924191603785
"qBC",9.063326809,8.696308,5.570831,12.559346,620.286681601574,1,"passed",0.329789129928417,"passed",0.72445110954245,"passed",0.197961743204944
"qCA",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qCB",1.57175383,1.452577,1.01091,2.609566,503.167066403376,1,"passed",0.289423697117966,"passed",0.72445110954245,"passed",0.043053540689781
"No.Off.Parmeters",2.159,2,2,3,829.939378741929,1,"passed",0.0655527838174393,"passed",0.72445110954245,"passed",0.0248912497058748
"Root.P.A.",0.168102048,0.1454185,0.003543,0.406862,1000,1,"passed",0.506595376392715,"passed",0.72445110954245,"passed",0.00758528471592853
"Root.P.B.",0.450673802,0.4429705,0.271149,0.65037,785.047293351759,1,"passed",0.110682840384335,"passed",0.72445110954245,"passed",0.0064958270527086
"Root.P.C.",0.381224154,0.377571,0.09711,0.67407,1000,1,"passed",0.159694765507025,"passed",0.72445110954245,"passed",0.00921234376622318
"Node0.P.A.",0.321103177,0.317923,0.090584,0.561436,900.348405666552,1,"passed",0.531697077310391,"passed",0.725132359455778,"passed",0.00843773575118678
"Node0.P.B.",0.444831338,0.432942,0.337359,0.620981,872.978205690803,1,"passed",0.16194652201613,"passed",0.72445110954245,"passed",0.00463199391179764
"Node0.P.C.",0.234065486,0.2307375,0.050745,0.428879,1158.75374110086,1,"passed",0.115729793992348,"passed",0.72445110954245,"passed",0.00564003521179366
"Node1.P.A.",0.203804806,0.1868185,0.040207,0.433769,910.934844367789,1,"passed",0.50955301573936,"passed",0.72445110954245,"passed",0.00742415274708378
"Node1.P.B.",0.413571045,0.4032945,0.293479,0.575982,683.838057236802,1,"passed",0.209665789914294,"passed",0.72445110954245,"passed",0.00518536940162028
"Node1.P.C.",0.382624142,0.3792155,0.125144,0.63068,999.999999999999,1,"passed",0.277516480839804,"passed",0.72445110954245,"passed",0.00793454163505607
"Node2.P.A.",0.303845812,0.309961,0.234008,0.346484,853.632428645179,1,"passed",0.585028621307535,"passed",0.738332516001255,"passed",0.00199955143191732
"Node2.P.B.",0.359346217,0.3530065,0.337583,0.409451,650.090217883008,1,"passed",0.239282948306609,"passed",0.72445110954245,"passed",0.00153271337629323
"Node2.P.C.",0.336807986,0.334958,0.303799,0.38153,1000,1,"passed",0.281078957420387,"passed",0.72445110954245,"passed",0.00124921877282624
"Node3.P.A.",0.400872196,0.394133,0.369843,0.461414,391.792568483087,1,"passed",0.682452570171987,"passed",0.784642696769193,"passed",0.002410855318335
"Node3.P.B.",0.364498045,0.366229,0.323204,0.396636,584.15282202569,1,"passed",0.203270102720941,"passed",0.72445110954245,"passed",0.0013583737731865
"Node3.P.C.",0.235369751666667,0.2370745,0.197515,0.271674,731.953121037126,401,"passed",0.059959229464483,"passed",0.72445110954245,"passed",0.00154107883814625
"Node4.P.A.",0.207218143,0.216115,0.124298,0.267288,600.437497886132,1,"passed",0.446775742297509,"passed",0.72445110954245,"passed",0.00308821463351565
"Node4.P.B.",0.319359559,0.312547,0.283342,0.382743,420.380952183627,1,"passed",0.708116439518859,"passed",0.797415786606248,"passed",0.00229063682642432
"Node4.P.C.",0.473422284,0.470029,0.409475,0.540835,903.884293957515,1,"passed",0.121760517587309,"passed",0.72445110954245,"passed",0.00223386138432661
"Node5.P.A.",0.134724826,0.107386,0.003221,0.350569,999.999999999999,1,"passed",0.48043045354429,"passed",0.72445110954245,"passed",0.00678619630802005
"Node5.P.B.",0.490320945,0.4905845,0.324894,0.670641,774.61450634652,1,"passed",0.177964079767364,"passed",0.72445110954245,"passed",0.00588903513288134
"Node5.P.C.",0.37495421,0.365231,0.1073,0.658948,999.999999999999,1,"passed",0.303510619350189,"passed",0.72445110954245,"passed",0.00875421028062164
"Node6.P.A.",0.422933765,0.4417365,0.163295,0.566354,872.91944462796,1,"passed",0.391555375001614,"passed",0.72445110954245,"passed",0.00701797529214115
"Node6.P.B.",0.485222152,0.4717615,0.387779,0.728007,855.826328202076,1,"passed",0.237536539606855,"passed",0.72445110954245,"passed",0.0054143692735972
"Node6.P.C.",0.091844074,0.0862595,0.036578,0.169029,999.999999999999,1,"passed",0.264136949140853,"passed",0.72445110954245,"passed",0.00216810738606061
"Node7.P.A.",0.627209781,0.6262835,0.52158,0.791675,788.665762941169,1,"passed",0.567169009387771,"passed",0.731903530769833,"passed",0.00417074761044789
"Node7.P.B.",0.350488397,0.3515205,0.201569,0.452887,757.9454600208,1,"passed",0.536851755184594,"passed",0.72548848003932,"passed",0.00395073665138648
"Node7.P.C.",0.0224859242857143,0.021515,0.009908,0.036215,1053.40025821137,301,"passed",0.153224590212365,"passed",0.72445110954245,"passed",0.000489767057895894
"Node8.P.A.",0.847529482,0.833982,0.776263,0.993034,551.54213967609,1,"passed",0.684490082612484,"passed",0.784642696769193,"passed",0.00471195981219959
"Node8.P.B.",0.152101888,0.165681,0.006896,0.222935,550.445103704016,1,"passed",0.687306898849788,"passed",0.786421509394455,"passed",0.00470427774202657
