"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Lh",-594.065164947,-594.150531,-597.340859,-588.557609,1000,1,"passed",0.596336284698005,"passed",0.665042680867051,"passed",0.106190490471712
"qAB",8.239669635,8.1955905,5.968842,10.513229,1000,1,"passed",0.0680261024829542,"passed",0.349248945461001,"passed",0.0759981674523099
"qAC",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qBA",8.026022589,8.113348,4.264365,10.604439,999.999999999999,1,"passed",0.219565044251335,"passed",0.358365949480654,"passed",0.092106834858086
"qBC",8.201954938,8.18342,6.057675,10.513229,1000,1,"passed",0.161169038546698,"passed",0.349248945461001,"passed",0.0742341200805072
"qCA",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qCB",1.442414528,1.435006,0.866096,2.073763,1000,1,"passed",0.512749548887886,"passed",0.591430539489577,"passed",0.0193395431591896
"No.Off.Parmeters",2.072,2,2,3,1000,1,"passed",0.755891349097576,"passed",0.801167012496963,"passed",0.0160292633293886
"Root.P.A.",0.594754435,0.629845,0.261686,0.918895,1000,1,"passed",0.185035771699523,"passed",0.349248945461001,"passed",0.0101664718644349
"Root.P.B.",0.324328589,0.3281755,0.176422,0.490306,1000,1,"passed",0.248798653255967,"passed",0.377194745398102,"passed",0.00477896307724392
"Root.P.C.",0.080916983,0.034883,5.2e-05,0.318194,1000,1,"passed",0.259719499294848,"passed",0.384486709740412,"passed",0.00654967887308981
"Node0.P.A.",0.501804694,0.52904,0.032062,0.794499,1000,1,"passed",0.103217985029837,"passed",0.349248945461001,"passed",0.0129350382522601
"Node0.P.B.",0.368001801,0.379174,0.150175,0.526156,1000,1,"passed",0.171859648343701,"passed",0.349248945461001,"passed",0.00581146009824782
"Node0.P.C.",0.13019351,0.062796,1.5e-05,0.49128,1000,1,"passed",0.220332234844267,"passed",0.358365949480654,"passed",0.0100151760415714
"Node1.P.A.",0.497363611,0.510755,0.1763,0.784545,1000,1,"passed",0.133971819222463,"passed",0.349248945461001,"passed",0.00929536646603114
"Node1.P.B.",0.414020045,0.416408,0.264919,0.594467,1000,1,"passed",0.154309460844751,"passed",0.349248945461001,"passed",0.00514706898743678
"Node1.P.C.",0.088616347,0.0547675,2.6e-05,0.285746,1000,1,"passed",0.313112302252926,"passed",0.417950197614434,"passed",0.00605288331488828
"Node2.P.A.",0.266938531,0.2550865,0.06259,0.490414,1000,1,"passed",0.0826125690492895,"passed",0.349248945461001,"passed",0.00722209951603055
"Node2.P.B.",0.39334567,0.3928585,0.306293,0.482732,1000,1,"passed",0.784779327097474,"passed",0.82190656805384,"passed",0.00285054562927288
"Node2.P.C.",0.339715789,0.343977,0.047995,0.587938,999.999999999999,1,"passed",0.17152365104164,"passed",0.349248945461001,"passed",0.00870162246476755
"Node3.P.A.",0.220230734,0.2185025,0.094674,0.349574,1000,1,"passed",0.0754393314192229,"passed",0.349248945461001,"passed",0.0042132379838493
"Node3.P.B.",0.33676136,0.3358965,0.285073,0.395184,999.999999999999,1,"passed",0.540663408701237,"passed",0.615997294118864,"passed",0.00166682766297739
"Node3.P.C.",0.443007912,0.4453395,0.246263,0.604867,999.999999999999,1,"passed",0.135460033907276,"passed",0.349248945461001,"passed",0.00564693103855273
"Node4.P.A.",0.364538826,0.361314,0.264757,0.45489,1000,1,"passed",0.193223308782219,"passed",0.349248945461001,"passed",0.00289725979112891
