"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Lh",-2247.592544886,-2247.3294025,-2249.375747,-2246.672917,1000,1,"passed",0.381245141340106,"passed",0.44544275359963,"passed",0.0553188046078716
"qAB",7.07234225,7.0661955,6.32914,7.778822,1139.58361488906,1,"passed",0.381749208129099,"passed",0.44544275359963,"passed",0.0220959372630432
"qAC",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qBA",1.647041166,1.6422455,1.408433,1.922765,1000,1,"passed",0.445155241318353,"passed",0.481074729600162,"passed",0.00825435329999504
"qBC",7.071479842,7.0657725,6.32914,7.778822,1141.6155628087,1,"passed",0.342658054365064,"passed",0.44544275359963,"passed",0.0220459908975622
"qCA",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qCB",1.646772818,1.6421075,1.407043,1.922765,999.999999999998,1,"passed",0.421420161666362,"passed",0.460820495609318,"passed",0.0082593980827446
"No.Off.Parmeters",2.003,2,2,2,1000.00000000001,1,"passed",0.805519993754722,"passed",0.819977837821913,"passed",0.00339141966251999
"Root.P.A.",0.779361452,0.7818595,0.72611,0.829793,1000,1,"passed",0.172936963621283,"passed",0.44544275359963,"passed",0.00165292825929374
"Root.P.B.",0.183822566,0.1825555,0.14923,0.219304,1000,1,"passed",0.151139270950593,"passed",0.44544275359963,"passed",0.00110713966884655
"Root.P.C.",0.036815982,0.0355185,0.020058,0.05373,1000,1,"passed",0.22723203342624,"passed",0.44544275359963,"passed",0.000549997842830188
"Node0.P.A.",0.820605862,0.823544,0.771929,0.865572,999.999999999999,1,"passed",0.138172298304731,"passed",0.44544275359963,"passed",0.00151416498448098
"Node0.P.B.",0.158353146,0.1565725,0.123281,0.194515,999.999999999999,1,"passed",0.127320471378946,"passed",0.44544275359963,"passed",0.00114103840682749
"Node0.P.C.",0.021041007,0.019795,0.010505,0.032918,1000,1,"passed",0.179526338752485,"passed",0.44544275359963,"passed",0.000376897496689499
"Node1.P.A.",0.926560453,0.930285,0.886825,0.963082,1000,1,"passed",0.133020313617351,"passed",0.44544275359963,"passed",0.00126794182216523
"Node1.P.B.",0.070022677,0.066895,0.036164,0.106383,1000,1,"passed",0.128069938725191,"passed",0.44544275359963,"passed",0.00115149375180489
"Node1.P.C.",0.003416851,0.0028805,0.000751,0.00728,999.999999999999,1,"passed",0.199955368080851,"passed",0.44544275359963,"passed",0.000119075613586627
"Node2.P.A.",0.761869776,0.7622415,0.728413,0.796999,1000,1,"passed",0.116626264824024,"passed",0.44544275359963,"passed",0.00110051441639272
"Node2.P.B.",0.207864866,0.2077555,0.181134,0.232824,1000,1,"passed",0.111328155523812,"passed",0.44544275359963,"passed",0.000832084672363346
"Node2.P.C.",0.030265379,0.0299645,0.022284,0.039274,999.999999999999,1,"passed",0.145633405953557,"passed",0.44544275359963,"passed",0.000274680071255837
"Node3.P.A.",0.876347947,0.8767435,0.854981,0.896308,999.999999999998,1,"passed",0.137970239336821,"passed",0.44544275359963,"passed",0.000664196857592009
"Node3.P.B.",0.117470031,0.117091,0.0995,0.136611,999.999999999998,1,"passed",0.134952352757617,"passed",0.44544275359963,"passed",0.000597613135710616
"Node3.P.C.",0.006182003,0.006085,0.004063,0.008223,1000,1,"passed",0.172868242428232,"passed",0.44544275359963,"passed",6.72762493236155e-05
