"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Lh",-86.8125740266667,-86.7971855,-90.309067,-84.221737,431.990530511428,101,"passed",0.0702189975190989,"passed",0.154169532252242,"passed",0.173743094996505
"qAB",NA,4.259005,2.104211,10.389502,241.227705287003,NA,"failed",0.00878247452899095,"passed",0.154169532252242,NA,NA
"qAC",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qBA",NA,4.333609,0,55.776614,398.020480011057,NA,"failed",0.0227086084435737,"passed",0.154169532252242,NA,NA
"qBC",36.831881678,36.0070625,5.25861,68.911213,428.938102093866,1,"passed",0.165214236391785,"passed",0.213887310183555,"passed",1.71722573765184
"qCA",NA,0,0,0,0,NA,"failed",NA,NA,NA,NA,NA
"qCB",3.04370955,3.2939215,0,7.56644,739.83675750449,1,"passed",0.786346556929533,"passed",0.804393854957423,"passed",0.188266859846272
"No.Off.Parmeters",1.989,2,2,2,999.999999999999,1,"passed",0.918523359421916,"passed",0.927441061940575,"passed",0.0134264901235221
"Root.P.A.",0.723039742222222,0.7567865,0.222555,1,385.93333970855,101,"passed",0.0846052254326518,"passed",0.154169532252242,"passed",0.0230850926080542
"Root.P.B.",0.197375152857143,0.1962585,0,0.36706,333.48567421974,301,"passed",0.0741412493271196,"passed",0.154169532252242,"passed",0.0149558588044702
"Root.P.C.",0.078544911,0.0247795,0,0.447687,639.297376010425,1,"passed",0.129192386718197,"passed",0.175252281113381,"failed",0.0113603540465039
"Node0.P.A.",0.679583575555556,0.7828605,0.229912,1,276.696410174401,101,"passed",0.0777281323018519,"passed",0.154169532252242,"passed",0.0263046841458173
"Node0.P.B.",0.254274236,0.1864515,0,0.528877,295.385035578639,1,"passed",0.0655873731041455,"passed",0.154169532252242,"passed",0.0199871653892114
"Node0.P.C.",0.070850703,0.013204,0,0.430504,626.815261085218,1,"passed",0.102530191042272,"passed",0.154792163677152,"failed",0.0113003129460232
"Node1.P.A.",0.831011172857143,0.954948,0.330122,1,385.922539613065,301,"passed",0.11689612755564,"passed",0.165779962715271,"passed",0.0245010166328835
"Node1.P.B.",0.128985023333333,0.0407325,0,0.351056,291.292564492485,101,"passed",0.0503093765991079,"passed",0.154169532252242,"failed",0.0164992490377406
"Node1.P.C.",0.049394671,0.0005805,0,0.335455,618.232244095847,1,"passed",0.0504007283297867,"passed",0.154169532252242,"failed",0.0091236201089007
"Node2.P.A.",0.625501333,0.596824,0.272311,1,391.727231913789,1,"passed",0.0894202075716307,"passed",0.154169532252242,"passed",0.0202059069645768
"Node2.P.B.",0.259811829,0.2482185,0,0.466302,328.955371951316,1,"passed",0.0614255055526042,"passed",0.154169532252242,"passed",0.0156414917960725
"Node2.P.C.",0.114686848,0.0921745,0,0.395292,867.075708560999,1,"passed",0.506634532703659,"passed",0.551972185618976,"passed",0.00879960933064358
"Node3.P.A.",0.812078418888889,0.9317655,0.29111,1,392.700360855592,101,"passed",0.0630703510279371,"passed",0.154169532252242,"passed",0.0228534233783235
"Node3.P.B.",0.133309403333333,0.0518555,0,0.339111,293.281382740026,101,"passed",0.0535983744712724,"passed",0.154169532252242,"failed",0.016473989445772
"Node3.P.C.",0.056520501,0.001584,0,0.369883,609.520155288718,1,"passed",0.0928336053099447,"passed",0.154169532252242,"failed",0.00998470763995747
"Node4.P.A.",0.788197681111111,0.8973055,0.363415,1,378.511454084719,101,"passed",0.0711060405364569,"passed",0.154169532252242,"passed",0.0228332659927625
"Node4.P.B.",0.172408609,0.084276,0,0.419693,307.166090484343,1,"passed",0.0652287153261242,"passed",0.154169532252242,"failed",0.0179832932058365
"Node4.P.C.",0.043102866,0.005375,0,0.265822,637.36255004925,1,"passed",0.0687224664307683,"passed",0.154169532252242,"failed",0.00696219520767617
"Node5.P.A.",0.478650193333333,0.433649,0.160294,1,420.911774858086,101,"passed",0.112850470899184,"passed",0.163013885971534,"passed",0.0267111706021583
"Node5.P.B.",0.421794055,0.3841965,0,0.779933,433.361133654652,1,"passed",0.131654442306392,"passed",0.17781898701123,"passed",0.0219172323942681
"Node5.P.C.",0.104991423,0.0857355,0,0.437341,802.944823959229,1,"passed",0.227540525735868,"passed",0.270964290189278,"passed",0.0093764015578525
"Node6.P.A.",0.677764837777778,0.7521865,0.383076,1,305.728303223125,101,"passed",0.0527972595325367,"passed",0.154169532252242,"passed",0.0236424514463972
