Clade, Date (MYA)
4398.45_4220.4,4395.45
3445.13_3065.62,3305.43
GCA.001889985.1.Archaea.Micrarchaeota,47.67999999999938
3333.21_3006.56,3224.5622999999996
3270.33_2932.07,3154.5779999999995
None,3065.0676999999996
GCA.002789635.1.Archaea.Aenigmatarchaeota,47.677700000000186
None,2945.8606999999997
GCA.002254415.1.Archaea.EX4484.52,47.68069999999989
GCA.001564035.1.Archaea.Nanohaloarchaeota,47.68069999999989
3194.53_2846.13,3073.3391999999994
2905.9_2487.12,2753.5231999999996
GCA.002779075.1.Archaea.Iainarchaeota,47.68319999999949
GCA.002687735.1.Archaea.Iainarchaeota,47.68319999999949
3110.81_2751.72,2985.6348
2976.22_2581.13,2833.0957999999996
2829.24_2399.44,2670.2958
GCA.002779595.1.Archaea.Nanoarchaeota,47.68579999999929
GCA.002763265.1.Archaea.Nanoarchaeota,47.68579999999929
GCA.002412085.1.Archaea.Nanoarchaeota,47.6858000000002
3015.82_2639.08,2880.0217999999995
2820.45_2370.62,2651.9237999999996
GCA.002505525.1.Archaea.Nanoarchaeota,47.68379999999979
GCA.002497285.1.Archaea.Nanoarchaeota,47.68379999999979
2906.3_2478.42,2750.6937999999996
GCA.002789275.1.Archaea.Huberarchaeota,47.68379999999979
GCA.000387965.1.Archaea.Nanoarchaeota,47.68379999999979
3270.62_2948.42,3165.1040999999996
3067.58_2707.28,2942.5370999999996
1279.15_531.155,940.9371000000001
GCA.002841105.1.Archaea.Altiarchaeota,47.6841000000004
GCA.002083985.1.Archaea.Altiarchaeota,47.6841000000004
2838.14_2445.35,2697.8021
2555.27_2054.93,2366.4271
GCA.002254565.1.Archaea.Altiarchaeota,47.67709999999988
GCA.001742785.1.Archaea.Altiarchaeota,47.67709999999988
GCA.001723855.1.Archaea.Altiarchaeota,47.68209999999999
3145.38_2829.57,3042.2230999999997
3052.55_2738.48,2948.2104
2935.32_2608.75,2822.8304
2814.09_2436.34,2678.6074
GCF.002201895.1.Archaea.Euryarchaeota,47.6873999999998
GCA.001587715.1.Archaea.Methanobacteriota.B,47.6873999999998
2727.65_2348.97,2592.0463999999997
GCF.002214485.1.Archaea.Methanobacteriota.B,47.686399999999594
GCA.001515205.2.Archaea.Hadarchaeota,47.686399999999594
3031.65_2717.43,2927.2799999999997
2832.32_2429.84,2684.5249999999996
GCA.003230355.1.Archaea.Hydrothermarchaeota,47.68499999999949
GCA.002502135.1.Archaea.Undinarchaeota,47.68499999999949
2937.35_2626.2,2834.4682
GCF.000025525.1.Archaea.Methanobacteriota.A,47.67819999999938
2870.72_2560.41,2767.2209999999995
None,2530.929
2555.98_2226.49,2441.2608
2466.71_2114.22,2342.3855
GCA.003009755.1.Archaea.Thermoplasmatota,47.6855000000005
2371.63_1978.56,2228.4395
GCA.002495235.1.Archaea.Thermoplasmatota,47.67949999999928
GCA.002494765.1.Archaea.Thermoplasmatota,47.67949999999928
2345.41_1971.36,2211.7578
GCA.002011355.1.Archaea.Thermoplasmatota,47.6877999999997
2172.33_1723.02,2008.6207999999997
GCA.002502685.1.Archaea.Thermoplasmatota,47.68079999999918
GCA.001595945.1.Archaea.Thermoplasmatota,47.68079999999918
2545.09_2220.22,2432.2913
2484.93_2152.78,2368.4075
GCA.002497685.1.Archaea.Thermoplasmatota,47.6875
2341.56_1974.13,2209.3464999999997
GCF.002078355.1.Archaea.Thermoplasmatota,47.686499999999796
2148.2_1753.52,2005.2974999999997
GCA.002878135.1.Archaea.Thermoplasmatota,47.67749999999978
GCA.002011395.1.Archaea.Thermoplasmatota,47.67749999999978
2432.16_2076.36,2303.7353
GCA.002495185.1.Archaea.Thermoplasmatota,47.6853000000001
2304.6_1941.33,2174.1202999999996
2135.57_1716.45,1981.6492999999996
GCA.001800745.1.Archaea.Thermoplasmatota,47.679299999999785
GCA.001595885.1.Archaea.Thermoplasmatota,47.679299999999785
GCA.001421185.1.Archaea.Thermoplasmatota,47.68029999999908
2710.79_2386.63,2600.254
GCA.003034855.1.Archaea.Halobacteriota,47.68399999999929
2587.9_2265.19,2478.4119999999994
2455.2_2100.9,2330.1539999999995
GCF.000194625.1.Archaea.Halobacteriota,47.6840000000002
GCA.002011165.1.Archaea.Halobacteriota,47.6840000000002
2487.89_2152.92,2373.3709999999996
2277.46_1884.6,2135.8009999999995
GCA.003194435.1.Archaea.Halobacteriota,47.680999999999585
GCA.001766825.1.Archaea.Halobacteriota,47.680999999999585
2396.19_2047.67,2273.7021999999997
2234.17_1831.6,2089.5541999999996
GCF.002114285.1.Archaea.Halobacteriota,47.68419999999969
GCA.003158275.1.Archaea.Halobacteriota,47.68419999999969
2323.79_1964.99,2197.8448
GCA.002256595.1.Archaea.Halobacteriota,47.684799999999996
2208.35_1821.14,2070.9087999999997
2080.58_1656.31,1926.7287999999999
GCF.000970205.1.Archaea.Halobacteriota,47.67879999999968
GCF.000011005.1.Archaea.Euryarchaeota,47.67879999999968
GCA.001412335.1.Archaea.Halobacteriota,47.67879999999968
3029.57_2710.64,2922.5100999999995
2954.89_2635.04,2845.7235
GCF.000019605.1.Archaea.Thermoproteota,47.683500000000095
2906.36_2586.84,2795.7137999999995
2779.64_2443.61,2661.8387999999995
2552.61_2192.32,2422.6548
2410.41_2016.29,2264.7057999999997
2262.48_1833.37,2101.5027999999998
GCF.001481685.1.Archaea.Thermoproteota,47.68279999999959
GCF.000092185.1.Archaea.Thermoproteota,47.68279999999959
GCF.000011205.1.Archaea.Thermoproteota,47.6858000000002
GCA.002254745.1.Archaea.Thermoproteota,47.684799999999996
2622.16_2245.25,2480.4038
GCF.000148385.1.Archaea.Thermoproteota,47.68379999999979
2447.7_2011.83,2282.4157999999998
GCA.003019535.1.Archaea.Thermoproteota,47.6858000000002
GCA.001717025.1.Archaea.Thermoproteota,47.6858000000002
2844.85_2522.59,2732.4613999999997
2744.68_2408.75,2624.2033999999994
GCA.002495485.1.Archaea.Thermoproteota,47.68339999999989
2676.61_2342.2,2558.2316999999994
2536.91_2167.28,2402.8666999999996
GCA.002255025.1.Archaea.Thermoproteota,47.68669999999929
GCA.001593865.1.Archaea.Thermoproteota,47.68669999999929
2593.5_2239.9,2466.7785999999996
2478.81_2077.88,2328.4896
2006.45_1446.63,1783.4215999999997
GCA.001774245.1.Archaea.Thermoproteota,47.68159999999989
GCA.001593875.1.Archaea.Thermoproteota,47.68159999999989
GCA.001593855.1.Archaea.Thermoproteota,47.67960000000039
2347.3_1911.83,2187.5835999999995
GCA.001775995.1.Archaea.Thermoproteota,47.68359999999939
GCA.001273335.1.Archaea.Thermoproteota,47.68359999999939
2734.97_2390.53,2612.6323999999995
GCA.002255045.1.Archaea.Thermoproteota,47.68239999999969
2665.95_2313.16,2536.6106
2536.09_2167.88,2401.4336
2456.17_2062.1,2310.8918
1742.17_1170.74,1522.4377999999997
GCA.002011085.1.Archaea.Thermoproteota,47.67779999999948
GCA.002011075.1.Archaea.Thermoproteota,47.67779999999948
GCA.001510295.1.Archaea.Thermoproteota,47.681799999999384
2406.16_1981.97,2245.4656
GCA.002506605.1.Archaea.Thermoproteota,47.685599999999795
GCA.000405685.1.Archaea.Thermoproteota,47.685599999999795
GCA.000375685.1.Archaea.Thermoproteota,47.680599999999686
2957.01_2632.54,2847.1710999999996
2712.39_2309.98,2566.7191
GCA.001940655.1.Archaea.Asgardarchaeota,47.67910000000029
GCA.001563325.1.Archaea.Asgardarchaeota,47.67910000000029
2888.31_2556.3,2776.6917
GCA.001940665.1.Archaea.Asgardarchaeota,47.68170000000009
2836.93_2489.48,2719.593
2731.6_2380.95,2608.8559999999998
2488.59_2073.43,2334.2599999999998
GCA.001940755.1.Archaea.Asgardarchaeota,47.67999999999938
GCA.001940725.1.Archaea.Asgardarchaeota,47.67999999999938
2389.82_1949.39,2226.0719999999997
GCA.003144275.1.Archaea.Asgardarchaeota,47.68199999999979
GCA.001940645.1.Archaea.Asgardarchaeota,47.68199999999979
1989.34_1597.89,1836.4279999999999
1857.1_1467.63,1701.3399999999997
GCA.000189635.1.Eukaryota.Ciliophora,47.67999999999938
1708.56_1330.09,1555.4979999999996
1566.16_1163.59,1405.5889999999995
GCF.000165345.1.Eukaryota.Apicocomplexa,47.67899999999918
GCA.000315625.1.Eukaryota.Cryptophyceae,47.67899999999918
None,1490.3344999999995
1551.64_1174.94,1393.5087999999996
GCA.015473125.1.Eukaryota.Viridiplantae,47.67879999999968
1392.48_1059.09,1233.8747999999996
GCF.000091205.1.Eukaryota.Rhodophyta,47.684799999999996
GCA.002049455.2.Eukaryota.Rhodophyta,47.684799999999996
1513.48_1122.72,1353.5774999999994
GCA.000004985.1.Eukaryota.Heterolobosea,47.67749999999887
1331.56_923.756,1163.2564999999995
GCA.000209225.1.Eukaryota.Cnidaria,47.686499999999796
1091.7_627.036,896.5214999999994
GCA.000188695.1.Eukaryota.Choanoflagellata,47.68149999999969
GCA.000002865.1.Eukaryota.Choanoflagellata,47.68149999999969
GCA.000002435.2.Eukaryota.Fornicata,47.677999999999884
3608.87_3312.65,3519.205
None,3420.1841
3466.68_3114.79,3344.5843999999997
3327.02_2857.1,3154.6803999999997
GCA.002402105.1.Bacteria.UBP17,47.68040000000019
GCA.002325765.1.Bacteria.Proteobacteria,47.68040000000019
GCA.001791795.1.Bacteria.Wallbacteria,47.67439999999988
3424.72_3061.28,3293.0280999999995
GCA.002869225.1.Bacteria.Muirbacteria,47.678100000000086
GCA.001787855.1.Bacteria.Riflebacteria,47.678100000000086
3587.74_3296.47,3500.7135
3553.34_3261.56,3465.0451
3468.94_3180.35,3380.8606
3413.03_3121.88,3325.2415
3310.34_3018.46,3221.2405
3114.42_2774.43,2999.8194999999996
GCA.003498085.1.Bacteria.UBA9089,47.67950000000019
2984.65_2605.48,2853.3224999999998
GCA.003485015.1.Bacteria.UBA9089,47.68249999999989
GCA.001873945.1.Bacteria.UBA9089,47.68249999999989
3270.66_2972.96,3176.9177
3244.74_2951.81,3153.5386
3113.46_2786.75,3003.4106
GCA.003527405.1.Bacteria.Atribacterota,47.680599999999686
2991.51_2625.76,2863.5816
GCA.002478245.1.Bacteria.UBP18,47.68159999999989
GCA.001871015.1.Bacteria.Desantisbacteria,47.68159999999989
3192.89_2897.63,3100.4205
3104.09_2793.9,3004.135
GCA.002440765.1.Bacteria.UBA6266,47.67500000000018
3019.94_2699.9,2912.0753999999997
GCA.002791075.1.Bacteria.Ratteibacteria,47.67540000000008
2930.14_2607.09,2823.8405000000002
GCA.002085025.1.Bacteria.Omnitrophota,47.68050000000039
2912.2_2585.64,2802.3976000000002
2776.49_2442.7,2662.9336000000003
2710.32_2349.26,2583.5376
2540.07_2135.68,2396.1626
GCA.003140915.1.Bacteria.Omnitrophota,47.68260000000009
GCA.002783585.1.Bacteria.Omnitrophota,47.68260000000009
GCA.002780805.1.Bacteria.Omnitrophota,47.677599999999984
2734.98_2394.68,2618.7507
2575.36_2178.89,2432.6787
GCA.002796105.1.Bacteria.Omnitrophota,47.67869999999948
GCA.002779345.1.Bacteria.Omnitrophota,47.67869999999948
2673.97_2328.78,2554.9656999999997
2541.49_2156.29,2404.4247
GCA.002787095.1.Bacteria.Omnitrophota,47.674700000000485
GCA.001805885.1.Bacteria.Omnitrophota,47.674700000000485
2490.77_2124.19,2360.4927
2366.8_1967.86,2223.4587
GCA.003154195.1.Bacteria.Omnitrophota,47.67869999999948
GCA.001805575.1.Bacteria.Omnitrophota,47.67869999999948
2421.55_2043.76,2285.4137
GCA.002796125.1.Bacteria.Omnitrophota,47.67370000000028
2253.94_1830.02,2100.0207
GCA.003451585.1.Bacteria.Omnitrophota,47.68069999999989
GCA.001805375.1.Bacteria.Omnitrophota,47.68069999999989
GCA.001804315.1.Bacteria.Omnitrophota,47.677599999999984
3007.99_2691.63,2902.3325
GCA.002441095.1.Bacteria.UBA6262,47.68249999999989
2927.84_2600.67,2817.2736
GCA.002780705.1.Bacteria.CG03,47.67360000000008
2749.26_2421.44,2636.1306
GCA.001800605.1.Bacteria.Elusimicrobiota,47.680600000000595
2662.61_2326.35,2545.0945
2562.4_2191.02,2430.5005
GCA.002412545.1.Bacteria.Elusimicrobiota,47.68049999999948
GCA.001800495.1.Bacteria.Elusimicrobiota,47.68049999999948
2580.96_2235.38,2458.1381
2522.01_2170.47,2397.2581
2413.27_2039.68,2277.0780999999997
2343.88_1949.55,2197.3423
GCF.001027545.1.Bacteria.Elusimicrobiota,47.682299999999486
GCA.003158755.1.Bacteria.Elusimicrobiota,47.682299999999486
GCA.002841695.1.Bacteria.Elusimicrobiota,47.678100000000086
2377.56_1979.22,2230.6951
GCA.001800095.1.Bacteria.Elusimicrobiota,47.675099999999475
GCA.001800075.1.Bacteria.Elusimicrobiota,47.675099999999475
2155.61_1685.82,1976.2260999999999
GCA.001800245.1.Bacteria.Elusimicrobiota,47.67609999999968
GCA.001799695.1.Bacteria.Elusimicrobiota,47.67609999999968
3093.76_2754.97,2978.3347
GCA.003152075.1.Bacteria.FCPU426,47.674700000000485
3031.8_2649.81,2897.5609
GCA.003167475.1.Bacteria.Goldbacteria,47.68090000000029
GCA.001778375.1.Bacteria.Firestonebacteria,47.68090000000029
3319.44_3020.45,3223.3725
3160.51_2818.15,3045.7214999999997
2750.37_2259.96,2573.6684999999998
GCA.003501375.1.Bacteria.Sumerlaeota,47.678499999999985
GCA.003290465.1.Bacteria.Sumerlaeota,47.678499999999985
GCA.002428325.1.Bacteria.UBP4,47.67149999999947
3295.82_2990.06,3198.3873999999996
3178.82_2816.22,3057.2594
GCA.002746185.1.Bacteria.Hydrogenedentota,47.67939999999999
GCA.001567115.1.Bacteria.OLB16,47.67939999999999
3208.38_2869.75,3096.6714
GCA.001784175.1.Bacteria.Lindowbacteria,47.681400000000394
2849.97_2387.35,2690.1243999999997
GCA.002687025.1.Bacteria.Poribacteria,47.67439999999988
GCA.000406005.1.Bacteria.Poribacteria,47.67439999999988
None,3373.8674
3352.46_3056.39,3259.4244
GCA.001730085.1.Bacteria.GCA.001730085,47.67439999999988
3302.8_3009.8,3212.8477999999996
3218.67_2922.31,3125.9394999999995
2994.35_2682.53,2890.8785
2782.77_2430.91,2661.6324999999997
2568.85_2170.99,2424.2754999999997
2296.91_1810.68,2116.9725
