nodename	lower	upper	average
1557	2740.64	1733.61	2237.125
1649	3035.51	2185.39	2610.45
1462	2478.85	1507.31	1993.08
1296	2153.72	1295.17	1724.445
1519	2533.77	1733.06	2133.415
1323	2130.09	1386.24	1758.165
1442	2358.74	1565.29	1962.0149999999999
1564	2611.91	1980.62	2296.265
1635	2865.8	2289.12	2577.46
1675	3089.45	2519.03	2804.24
1699	3285.29	2773.29	3029.29
870	1278.57	302.18	790.375
1072	1899.36	1085.73	1492.545
1415	2381.01	1458.48	1919.7450000000001
1609	2862.85	1941.84	2402.345
1418	2412.29	1360.62	1886.455
1322	2300.92	1240.93	1770.9250000000002
1548	2662.29	1691.17	2176.73
1493	2532.54	1522.51	2027.525
1118	1786.51	1174.68	1480.595
1299	1982.66	1449.62	1716.1399999999999
973	1581.03	1059.51	1320.27
1178	1846.71	1314.17	1580.44
1430	2167.1	1710.11	1938.605
950	1522.67	1030.22	1276.4450000000002
1141	1781.72	1286.51	1534.115
1355	2045.17	1577.77	1811.47
938	1500.52	1021.66	1261.09
1116	1746.66	1253.92	1500.29
1281	1934.33	1455.72	1695.025
1428	2163.01	1732.01	1947.5100000000002
1511	2338.09	1915.16	2126.625
1257	1969.17	1264.23	1616.7
1055	1711.62	1113.22	1412.42
1015	1640.83	1101.78	1371.3049999999998
911	1403.93	934.464	1169.1970000000001
1013	1587.43	1145.26	1366.345
1143	1762.59	1321.66	1542.125
1256	1881.51	1445.74	1663.625
1360	2030.99	1593.82	1812.405
1447	2197.74	1741.25	1969.495
1523	2401.72	1930.81	2166.265
1610	2665.58	2228.65	2447.115
1631	2775.71	2341.94	2558.825
1661	2926.2	2484.73	2705.465
1667	2968.59	2535.29	2751.94
992	1642.61	1071.03	1356.82
1176	1881.51	1274.36	1577.935
1358	2110.45	1486.41	1798.4299999999998
1127	1853.29	1177.07	1515.1799999999998
1398	2170.45	1555.94	1863.195
1540	2483.59	1946.01	2214.8
1274	2015.58	1270.52	1643.05
903	1411.12	805.997	1108.5584999999999
1240	1910.17	1376.06	1643.115
1057	1736.27	1108.18	1422.225
1385	2102.13	1604.54	1853.335
1461	2251.98	1745.63	1998.805
