contig_name	Start Coor	Stop Coordinate	ORF_code	Sum of per_base coverage	human_readable_names
contig-100_0	556.0	822.0	KEAHIEPK_00001	5977.0	hypothetical protein
contig-100_0	812.0	3220.0	KEAHIEPK_00002	86387.0	hypothetical protein
contig-100_0	3291.0	4010.0	KEAHIEPK_00003	15182.0	hypothetical protein
contig-100_0	4020.0	4526.0	KEAHIEPK_00004	12518.0	hypothetical protein
contig-100_0	4507.0	4932.0	KEAHIEPK_00005	8594.0	hypothetical protein
contig-100_0	5037.0	5477.0	KEAHIEPK_00006	10318.0	hypothetical protein
contig-100_0	5525.0	6262.0	KEAHIEPK_00007	17473.0	hypothetical protein
contig-100_0	6289.0	7071.0	KEAHIEPK_00008	29688.0	hypothetical protein
contig-100_0	7144.0	7605.0	KEAHIEPK_00009	8718.0	hypothetical protein
contig-100_0	7605.0	8666.0	KEAHIEPK_00010	25729.0	hypothetical protein
contig-100_0	8687.0	10396.0	KEAHIEPK_00011	28983.0	Putative DNA repair helicase RadD
contig-100_0	10389.0	10598.0	KEAHIEPK_00012	5708.0	hypothetical protein
contig-100_0	10738.0	11331.0	KEAHIEPK_00013	14327.0	hypothetical protein
contig-100_0	11345.0	11920.0	KEAHIEPK_00014	11020.0	hypothetical protein
contig-100_0	12026.0	12610.0	KEAHIEPK_00015	14081.0	hypothetical protein
contig-100_0	12737.0	13438.0	KEAHIEPK_00016	15667.0	7-carboxy-7-deazaguanine synthase
contig-100_0	13442.0	14164.0	KEAHIEPK_00017	16355.0	7-cyano-7-deazaguanine synthase
contig-100_0	14166.0	14342.0	KEAHIEPK_00018	4333.0	hypothetical protein
contig-100_0	14318.0	14740.0	KEAHIEPK_00019	9498.0	hypothetical protein
contig-100_0	14728.0	14994.0	KEAHIEPK_00020	5254.0	hypothetical protein
contig-100_0	14994.0	15155.0	KEAHIEPK_00021	4239.0	hypothetical protein
contig-100_0	15155.0	15673.0	KEAHIEPK_00022	18318.0	hypothetical protein
contig-100_0	15676.0	16254.0	KEAHIEPK_00023	11382.0	GTP cyclohydrolase 1
contig-100_0	16331.0	16666.0	KEAHIEPK_00024	7504.0	hypothetical protein
contig-100_0	16740.0	17687.0	KEAHIEPK_00025	18994.0	hypothetical protein
contig-100_0	17684.0	18667.0	KEAHIEPK_00026	19629.0	hypothetical protein
contig-100_0	18667.0	20931.0	KEAHIEPK_00027	46472.0	hypothetical protein
contig-100_0	21012.0	21245.0	KEAHIEPK_00028	6202.0	hypothetical protein
contig-100_0	21255.0	21470.0	KEAHIEPK_00029	4934.0	hypothetical protein
contig-100_0	21470.0	21679.0	KEAHIEPK_00030	6587.0	hypothetical protein
contig-100_0	21765.0	21965.0	KEAHIEPK_00031	2577.0	hypothetical protein
contig-100_0	21949.0	24156.0	KEAHIEPK_00032	55996.0	hypothetical protein
contig-100_0	24336.0	24554.0	KEAHIEPK_00033	8658.0	hypothetical protein
contig-100_0	24564.0	25346.0	KEAHIEPK_00034	20663.0	hypothetical protein
contig-100_0	25339.0	26988.0	KEAHIEPK_00035	30833.0	hypothetical protein
contig-100_0	26988.0	27836.0	KEAHIEPK_00036	21780.0	hypothetical protein
contig-100_0	27836.0	28693.0	KEAHIEPK_00037	15679.0	hypothetical protein
